,w_v_mean,w_y_mean,cv_mean,cy_mean,tv_0_mean,ty_0_mean,r_mean,S_rate_ini_mean,Rcv_rate_ini_mean,Rcy_rate_ini_mean,Rv_rate_ini_mean,Ry_rate_ini_mean,R_rate_ini_mean,w_v_std,w_y_std,cv_std,cy_std,tv_0_std,ty_0_std,r_std,S_rate_ini_std,Rcv_rate_ini_std,Rcy_rate_ini_std,Rv_rate_ini_std,Ry_rate_ini_std,R_rate_ini_std,w_v_neff,w_y_neff,cv_neff,cy_neff,tv_0_neff,ty_0_neff,r_neff,S_rate_ini_neff,Rcv_rate_ini_neff,Rcy_rate_ini_neff,Rv_rate_ini_neff,Ry_rate_ini_neff,R_rate_ini_neff,w_v_rhat,w_y_rhat,cv_rhat,cy_rhat,tv_0_rhat,ty_0_rhat,r_rhat,S_rate_ini_rhat,Rcv_rate_ini_rhat,Rcy_rate_ini_rhat,Rv_rate_ini_rhat,Ry_rate_ini_rhat,R_rate_ini_rhat,bv_log_likelihood_mean,bv_log_likelihood_std,by_log_likelihood_mean,by_log_likelihood_std,runtime,bv_rmse,by_rmse,bv_mape,by_mape,bv_mae,by_mae,bv_corr,by_corr,bv_r2,by_r2,file_num,log_likelihood_sum,log_likelihood_std,neff_mean,rhat_mean,mae,mape,rmse,S_rate_ini_adjust_mean,Rcv_rate_ini_adjust_mean,Rcy_rate_ini_adjust_mean,Rv_rate_ini_adjust_mean,Ry_rate_ini_adjust_mean,R_rate_ini_adjust_mean,Iv_rate_ini_adjust_mean,Iy_rate_ini_adjust_mean,Jv_rate_ini_adjust_mean,Jy_rate_ini_adjust_mean
0,0.098,0.342,0.136,0.285,15.874,13.998,0.471,0.566,0.011,0.011,0.376,0.501,0.102,0.003,0.005,0.02,0.021,0.135,0.05,0.005,0.012,0.001,0.001,0.012,0.016,0.002,1442.0,1230.0,1349.0,1262.0,1321.0,1290.0,1203.0,1609.0,974.0,674.0,1052.0,1017.0,580.0,1.0,1.0,1.0,1.0,1.0,1.01,1.01,1.0,1.0,1.0,1.0,1.0,1.0,-2578.3878128169613,44.207170463325575,-4290.966369292617,51.80164847892893,0.158789241777526,42.74487317803781,74.94430393839453,3532235001859215.5,0.5806924513879227,27.751633986928105,39.0686274509804,0.6595039230636598,0.8290051573471156,-2.289975590068217,0.6355210186433478,2650,-6869.354182109579,96.0088189422545,1154.076923076923,1.0015384615384615,66.8202614379085,3532235001859216.0,117.68917711643233,0.3611905248111088,0.007019603839085154,0.007019603839085154,0.23994282213600163,0.3197110475801511,0.06509087196242597,6.381458035531959e-06,6.381458035531959e-06,6.381458035531959e-06,6.381458035531959e-06
1,0.102,0.318,0.02,0.424,15.086,13.577,0.477,0.603,0.011,0.011,0.38,0.483,0.102,0.003,0.005,0.009,0.021,0.129,0.049,0.005,0.012,0.001,0.001,0.012,0.015,0.002,1471.0,1439.0,895.0,1351.0,1751.0,1467.0,1440.0,1532.0,696.0,708.0,1233.0,1263.0,465.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2629.31088313057,41.52372606948392,-4071.140504104394,45.79321955185824,0.1604551116625468,45.13996026883382,73.36469917451663,3208446793355454.5,0.5901221102403751,29.27124183006536,38.588235294117645,0.7075862186682365,0.8468944937508354,-2.668993606065515,0.6507233844489191,4476,-6700.4513872349635,87.31694562134217,1208.5384615384614,1.0007692307692309,67.859477124183,3208446793355455.0,118.50465944335045,0.37923574249704406,0.00691806495434077,0.00691806495434077,0.23898769842268117,0.30376594299514476,0.06414932957661441,6.28914995849161e-06,6.28914995849161e-06,6.28914995849161e-06,6.28914995849161e-06
2,0.089,0.308,0.18,0.681,12.089,13.521,0.468,0.898,0.014,0.012,0.347,0.49,0.216,0.002,0.005,0.021,0.02,0.071,0.052,0.005,0.002,0.004,0.002,0.013,0.016,0.008,1412.0,1386.0,1147.0,1186.0,835.0,1345.0,1439.0,569.0,261.0,660.0,1118.0,1099.0,1010.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.01,-2552.2151113380214,41.64770426380039,-3968.420595552881,49.88717273514547,0.1617933170000712,43.506929806370735,75.06731184203643,3326187960084094.5,0.5948919470657463,30.10457516339869,38.71895424836601,0.8048908048441464,0.8407198753863447,-2.408328798873516,0.6343235803736433,3731,-6520.635706890902,91.53487699894586,1035.923076923077,1.0023076923076923,68.8235294117647,3326187960084095.0,118.57424164840717,0.4542143810949703,0.00708129324646947,0.00606967992554526,0.17551491118035042,0.24784526362643144,0.10925423865981468,5.05806660462105e-06,5.05806660462105e-06,5.05806660462105e-06,5.05806660462105e-06
3,0.093,0.319,0.539,0.813,12.574,13.61,0.484,0.746,0.012,0.012,0.492,0.631,0.109,0.002,0.005,0.021,0.019,0.133,0.052,0.005,0.014,0.002,0.002,0.012,0.015,0.006,761.0,954.0,745.0,771.0,924.0,970.0,841.0,473.0,499.0,721.0,693.0,682.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,-2689.7503770941853,42.04506239044538,-4012.420043634719,47.88905606960427,0.3232300824589199,44.8911355646923,73.91727181041942,3326187960084094.5,0.5879684988036861,31.179738562091504,38.70261437908497,0.7624324882092887,0.8384959571661179,-2.628655951495818,0.6454421652955353,2003,-6702.170420728904,89.93411846004966,714.6153846153846,1.0007692307692309,69.88235294117648,3326187960084095.0,118.80840737511173,0.3726199276737727,0.00599388623603924,0.00599388623603924,0.24574933567760884,0.31517851791173,0.054444466644023096,4.994905196699367e-06,4.994905196699367e-06,4.994905196699367e-06,4.994905196699367e-06
4,0.1,0.316,0.277,0.399,14.694,13.701,0.479,0.895,0.011,0.014,0.232,0.347,0.317,0.003,0.005,0.02,0.02,0.133,0.05,0.005,0.005,0.001,0.004,0.014,0.015,0.008,760.0,1081.0,1007.0,990.0,1002.0,758.0,1190.0,546.0,582.0,366.0,612.0,581.0,785.0,1.01,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,-2594.197790741125,41.63953904166567,-4053.920854389212,48.24700675906242,0.1389289312230216,44.42944395551309,74.46726920605143,3208446793355454.5,0.5845797386633882,29.40196078431373,38.58496732026144,0.7298641035638604,0.8389123024848754,-2.554400537489252,0.6401462074615982,3104,-6648.1186451303365,89.8865458007281,789.2307692307693,1.0015384615384615,67.98692810457517,3208446793355455.0,118.89671316156452,0.49283055439307505,0.006057135305389748,0.007709081297768771,0.12775049007731107,0.19107508645184024,0.17455562652805004,5.5064866412634085e-06,5.5064866412634085e-06,5.5064866412634085e-06,5.5064866412634085e-06
5,0.095,0.303,0.177,0.515,15.434,13.371,0.501,0.612,0.012,0.011,0.374,0.463,0.104,0.003,0.005,0.021,0.02,0.136,0.053,0.005,0.012,0.002,0.001,0.011,0.014,0.004,811.0,637.0,890.0,590.0,584.0,686.0,905.0,633.0,405.0,576.0,741.0,775.0,293.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.01,1.0,1.01,-2899.214958398127,48.45255263378272,-3846.718905688489,46.61879749715078,0.1378368914789623,47.47326388941175,71.89297374015499,3797152626998657.5,0.5890783546953675,31.04901960784314,38.12745098039216,0.6587407494376272,0.8520198103103411,-3.058100449015364,0.6645960879944983,4790,-6745.933864086615,95.0713501309335,655.8461538461538,1.0023076923076923,69.1764705882353,3797152626998658.0,119.36623762956674,0.3883150173853455,0.007614019948732265,0.00697951828633791,0.23730362173548894,0.29377426968858655,0.06598817288901296,6.345016623943555e-06,6.345016623943555e-06,6.345016623943555e-06,6.345016623943555e-06
6,0.103,0.374,0.022,0.239,12.73,14.329,0.345,0.726,0.012,0.013,0.311,0.355,0.106,0.003,0.006,0.01,0.021,0.124,0.047,0.004,0.015,0.002,0.003,0.011,0.013,0.004,719.0,757.0,596.0,761.0,1017.0,760.0,742.0,698.0,400.0,280.0,570.0,623.0,155.0,1.0,1.01,1.0,1.0,1.01,1.0,1.0,1.01,1.0,1.01,1.01,1.0,1.02,-1576.002185985907,27.9439771199747,-4265.4749821465,40.6250009802804,0.2884127276473575,33.00589172994556,86.4511838527529,1972164542704728.8,0.6161746979768331,20.10457516339869,41.66013071895425,0.8265915804307845,0.7340906184914974,-0.961586894788071,0.5150051604994701,2984,-5841.477168132407,68.5689781002551,621.3846153846154,1.0053846153846153,61.76470588235294,1972164542704729.2,119.45707558269847,0.47667822250236364,0.00787897888433659,0.008535560458031305,0.2041968694190566,0.23308645866162409,0.06959764681163987,6.565815736947158e-06,6.565815736947158e-06,6.565815736947158e-06,6.565815736947158e-06
7,0.103,0.318,0.057,0.479,15.083,13.715,0.479,0.673,0.011,0.012,0.461,0.575,0.102,0.003,0.005,0.021,0.021,0.128,0.051,0.005,0.012,0.001,0.002,0.012,0.015,0.002,1530.0,1427.0,645.0,1498.0,1095.0,1229.0,1492.0,1084.0,689.0,745.0,1161.0,1103.0,531.0,1.0,1.0,1.01,1.0,1.0,1.0,1.01,1.0,1.01,1.0,1.0,1.0,1.0,-2673.87486159013,44.133887544838416,-4062.477419474602,49.37275403118997,0.1542471162478129,46.10777017584168,74.09254943888044,3120140918308974.5,0.5869724038569026,29.624183006535947,38.62091503267974,0.6991167418374302,0.8406790574241476,-2.828008112183228,0.6437586686685899,4563,-6736.352281064732,93.50664157602839,1094.5384615384614,1.0023076923076923,68.24509803921569,3120140918308975.0,120.20031961472212,0.3669494667509978,0.00599768816383503,0.006542932542365488,0.2513576585025408,0.31351551765501295,0.05561492661010664,5.452443785304574e-06,5.452443785304574e-06,5.452443785304574e-06,5.452443785304574e-06
8,0.093,0.306,0.318,0.718,12.576,13.627,0.493,0.61,0.011,0.011,0.354,0.451,0.101,0.002,0.005,0.021,0.021,0.125,0.05,0.005,0.012,0.001,0.001,0.012,0.015,0.001,1104.0,1327.0,1267.0,1191.0,1369.0,1641.0,1174.0,1246.0,647.0,916.0,1261.0,1297.0,695.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2752.817849273743,43.80964955414552,-3848.0788247571472,47.86988859619858,0.2635933340258068,46.09206827828336,74.13907836746064,3443929126812735.0,0.5805918346732736,31.931372549019606,38.29738562091503,0.7749491893294509,0.8381492019833396,-2.82540131700097,0.6433111005346642,1449,-6600.89667403089,91.6795381503441,1164.2307692307693,1.0,70.22875816993464,3443929126812735.5,120.23114664574399,0.39660867077579254,0.0071519596369405206,0.0071519596369405206,0.23016306467972222,0.29323034511456136,0.06566799303009024,6.501781488127747e-06,6.501781488127747e-06,6.501781488127747e-06,6.501781488127747e-06
9,0.105,0.336,0.024,0.295,12.296,13.812,0.363,0.698,0.011,0.02,0.179,0.185,0.167,0.003,0.006,0.012,0.02,0.122,0.05,0.004,0.018,0.001,0.008,0.014,0.016,0.011,1165.0,912.0,844.0,1236.0,458.0,886.0,991.0,682.0,670.0,165.0,236.0,321.0,179.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.02,1.02,1.03,-1752.4045355657984,33.44609631115264,-3962.7308739216896,41.04002770032166,0.2664970659547382,36.486298798316064,83.86768874653858,2031035126069048.8,0.6141025586944565,22.04901960784314,41.22549019607843,0.81332693027675,0.7554646367921473,-1.3970893960099522,0.5435590743476015,3045,-5715.135409487488,74.48612401147429,672.6923076923077,1.006153846153846,63.274509803921575,2031035126069049.2,120.35398754485465,0.5539506682327544,0.0087298815910606,0.01587251198374655,0.1420589822545316,0.14682073584965555,0.13253547506428368,7.936255991873275e-06,7.936255991873275e-06,7.936255991873275e-06,7.936255991873275e-06
10,0.098,0.354,0.309,0.607,12.093,14.206,0.352,0.594,0.011,0.028,0.153,0.16,0.141,0.003,0.006,0.02,0.02,0.076,0.047,0.004,0.019,0.001,0.011,0.014,0.016,0.011,967.0,853.0,1073.0,924.0,659.0,1044.0,951.0,694.0,965.0,144.0,274.0,198.0,260.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.01,1.0,1.01,1.0,-1669.0749492982422,29.21832815811072,-4223.062760590963,39.11317472056785,0.2905273797776964,33.455242757658425,87.37735569117264,2089905709433369.2,0.6052702057487025,21.029411764705884,41.46078431372549,0.8169385075492412,0.7273593108171358,-1.0153616075940777,0.504557768727957,802,-5892.137709889205,68.33150287867856,692.7692307692307,1.0023076923076923,62.490196078431374,2089905709433369.8,120.83259844883106,0.5464380335590227,0.010119222843685605,0.025758021783926995,0.1407491904621725,0.14718869590815425,0.1297100382690609,9.199293494259642e-06,9.199293494259642e-06,9.199293494259642e-06,9.199293494259642e-06
11,0.113,0.365,0.152,0.481,12.918,14.123,0.347,0.712,0.011,0.012,0.274,0.299,0.132,0.003,0.006,0.02,0.02,0.131,0.049,0.004,0.018,0.001,0.002,0.013,0.014,0.009,1004.0,714.0,740.0,882.0,998.0,768.0,1134.0,605.0,641.0,370.0,760.0,730.0,387.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.01,1.0,1.0,1.0,-1612.7505000727956,29.928546627451304,-4261.771077062737,41.24366852569882,0.1843893198834525,34.55915171586626,86.38668008861103,1795552792611767.8,0.6227516621418943,20.69607843137255,42.00326797385621,0.8249331953068013,0.7350209865002064,-1.1505560078477308,0.5157286282506606,1042,-5874.521577135532,71.17221515315012,748.6923076923077,1.0015384615384615,62.69934640522876,1795552792611768.2,120.94583180447728,0.49443071025804836,0.007638676703424905,0.008333101858281714,0.19027249243076583,0.20763312130218606,0.09166412044109887,6.944251548568096e-06,6.944251548568096e-06,6.944251548568096e-06,6.944251548568096e-06
12,0.106,0.353,0.013,0.829,12.118,14.269,0.357,0.893,0.011,0.017,0.175,0.195,0.259,0.003,0.006,0.003,0.02,0.085,0.046,0.004,0.007,0.001,0.006,0.014,0.014,0.009,857.0,1096.0,640.0,960.0,520.0,949.0,882.0,316.0,760.0,180.0,629.0,579.0,647.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.01,1.0,1.01,1.0,1.0,1.0,-1724.301799789864,30.4570122315396,-4084.106481426029,38.196198839343545,0.2827440351910061,35.46103910092945,85.65910358008534,1972164542704728.8,0.5996749441533846,21.820261437908496,40.8202614379085,0.822815514425289,0.7404446924217,-1.2642664143983984,0.5238516558753403,2569,-5808.408281215893,68.65321107088315,693.4615384615385,1.0023076923076923,62.640522875817,1972164542704729.2,121.12014268101478,0.5761141647957471,0.007096591055714689,0.01096745890428634,0.11290031225000642,0.1258032050785786,0.16709246213000953,6.451446414286082e-06,6.451446414286082e-06,6.451446414286082e-06,6.451446414286082e-06
13,0.102,0.327,0.029,0.371,12.079,14.071,0.362,0.892,0.011,0.014,0.211,0.225,0.223,0.003,0.005,0.013,0.021,0.065,0.05,0.004,0.007,0.001,0.003,0.013,0.013,0.008,716.0,661.0,642.0,911.0,378.0,807.0,1078.0,419.0,661.0,388.0,655.0,623.0,711.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,-1747.0132519118838,30.278617691801184,-3969.055755479842,36.3183875810451,0.3132096391254001,35.757466426311,85.42054749672658,2060470417751208.8,0.5796561666920895,22.00980392156863,40.130718954248366,0.8133372175061795,0.7470630583073135,-1.302279725634028,0.526500058927001,4414,-5716.069007391726,66.59700527284629,665.3846153846154,1.0007692307692309,62.140522875817,2060470417751209.2,121.17801392303758,0.5659754828557649,0.006979518286337909,0.008883023273520975,0.13387985076520897,0.14276287403872995,0.14149387071394123,6.345016623943554e-06,6.345016623943554e-06,6.345016623943554e-06,6.345016623943554e-06
14,0.105,0.344,0.043,0.482,12.123,14.242,0.359,0.755,0.011,0.018,0.106,0.117,0.238,0.003,0.006,0.017,0.02,0.089,0.048,0.004,0.02,0.001,0.006,0.005,0.008,0.009,649.0,589.0,582.0,1115.0,478.0,887.0,822.0,938.0,867.0,292.0,173.0,292.0,646.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.01,1.01,1.0,-1730.9959183913438,30.06912206627329,-4026.007057824446,38.61824153346646,0.3258885178963343,35.82371051823244,85.45303147481249,1986882188545808.8,0.5974920349572429,21.87908496732026,40.3562091503268,0.8136633521133277,0.7433662916323578,-1.310818009628285,0.526139862539665,4919,-5757.00297621579,68.68736359973975,640.7692307692307,1.003076923076923,62.23529411764706,1986882188545809.2,121.27674199304494,0.6064062198804857,0.008835057508192506,0.014457366831587737,0.08513782689712779,0.09397288440532031,0.19115851699543787,8.031870461993189e-06,8.031870461993189e-06,8.031870461993189e-06,8.031870461993189e-06
