strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/Ghana/DILI-14-0878/2014,Ghana,2014-11-04,EPI562339,B/Brisbane/60/2008,2.6,1.57,0.79
B/Ghana/DILI-15-174/2015,Ghana,2015-02-26,EPIHA,B/Brisbane/60/2008,2.6,1.57,0.79
B/Ghana/DILI-14-0878/2014,Ghana,2014-11-04,EPI562339,B/Brisbane/60/2008,2.6,1.57,0.79
B/Ghana/DILI-0572/2014,Ghana,2014-06-16,EPI540649,B/Brisbane/60/2008,2.6,1.57,0.79
B/Ghana/DILI-0572/2014,Ghana,2014-06-16,EPI540649,B/Brisbane/60/2008,2.6,1.57,0.79
B/Ghana/DILI-0572/2014,Ghana,2014-06-16,EPI540649,B/Brisbane/60/2008,2.6,1.57,0.79
B/Gambia/G0141336/2013,Gambia,2013-10-18,EPI536437,B/Brisbane/60/2008,2.6,1.57,0.79
B/Kumamoto/46/2014,Japan,2013-03-14,EPI540677,B/Brisbane/60/2008,2.6,1.57,0.79
B/Kumamoto/46/2014,Japan,2013-03-14,EPI540677,B/Brisbane/60/2008,2.6,1.57,0.79
B/Dakar/21/2013,Senegal,2013-09-26,EPI517137,B/Brisbane/60/2008,2.6,1.57,0.79
B/Dakar/21/2013,Senegal,2013-09-26,EPI517137,B/Brisbane/60/2008,2.6,1.57,0.79
B/Gambia/G0139336/2013,Gambia,2013-10-08,EPI536435,B/Brisbane/60/2008,2.6,1.57,0.79
B/Gambia/G0139336/2013,Gambia,2013-10-08,EPI536435,B/Brisbane/60/2008,2.6,1.57,0.79
B/Gambia/G0139336/2013,Gambia,2013-10-08,EPI536435,B/Brisbane/60/2008,2.6,1.57,0.79
B/Cameroon/14V-7839/2014,Cameroon,2014-10-30,EPI562328,B/Brisbane/60/2008,2.6,1.55,0.79
B/Cameroon/14V-7837/2014,Cameroon,2014-10-27,EPI562326,B/Brisbane/60/2008,2.6,1.55,0.79
B/Cameroon/743/2014,Cameroon,2014-02-05,EPI543168,B/Brisbane/60/2008,2.6,1.55,0.79
