strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/Madrid/15046/2014,Spain,2014-12-15,EPI557944,B/Massachusetts/02/2012,3.1,3.05,2.2
B/Madrid/052/2015,Spain,2014-12-30,EPI557942,B/Massachusetts/02/2012,3.1,3.05,2.2
B/CastillaLaMancha/2083/2014,Spain,2014-12-11,EPI555197,B/Massachusetts/02/2012,3.1,3.05,2.2
B/CastillaLaMancha/2083/2014,Spain,2014-12-11,EPI555197,B/Massachusetts/02/2012,3.1,3.05,2.2
B/CastillaLaMancha/2083/2014,Spain,2014-12-11,EPI555197,B/Massachusetts/02/2012,3.1,3.05,2.2
B/Clermont-Ferrand/2467/2014,France,2014-12-17,EPI556940,B/Massachusetts/02/2012,3.1,3.05,2.2
B/Bretagne/2216/2014,France,2014-11-24,EPI555191,B/Massachusetts/02/2012,3.1,3.05,2.2
B/Bretagne/2216/2014,France,2014-11-24,EPI555191,B/Massachusetts/02/2012,3.1,3.05,2.2
B/Bretagne/2216/2014,France,2014-11-24,EPI555191,B/Massachusetts/02/2012,3.1,3.05,2.2
B/Algiers/09/2014,Algeria,2014-10-12,EPI562322,B/Massachusetts/02/2012,3.1,3.05,2.2
B/Algiers/09/2014,Algeria,2014-10-12,EPI562322,B/Massachusetts/02/2012,3.1,3.05,2.2
B/Bangkok/42/2015,Thailand,2015-06-06,EPIHA,B/Massachusetts/02/2012,3.1,3.05,2.2
B/Malaysia/943/2015,Malaysia,2015-04-01,EPIHA,B/Massachusetts/02/2012,2.9,2.85,2.2
B/Ukraine/6/2015,Ukraine,2014-12-30,EPI557966,B/Massachusetts/02/2012,2.9,2.85,2.2
B/Ghom/90199/2014,Iran,2014-12-28,EPI556946,B/Massachusetts/02/2012,2.9,2.85,2.2
B/Centre/2213/2014,France,2014-11-25,EPI555199,B/Massachusetts/02/2012,3.5,3.45,2.2
B/Ukraine/6/2015,Ukraine,2014-12-30,EPI557966,B/Massachusetts/02/2012,2.9,2.85,2.2
B/Paris/2052/2014,France,2014-10-27,EPI555213,B/Massachusetts/02/2012,3.5,3.45,2.2
B/Switzerland/10295792/2014,Switzerland,2014-03-27,EPI530731,B/Massachusetts/02/2012,2.9,2.85,2.2
B/Centre/2213/2014,France,2014-11-25,EPI555199,B/Massachusetts/02/2012,3.5,3.45,2.2
B/Paris/2052/2014,France,2014-10-27,EPI555213,B/Massachusetts/02/2012,3.5,3.45,2.2
B/Ukraine/497/2014,Ukraine,2014-12-20,EPI557964,B/Massachusetts/02/2012,3.2,3.11,2.2
B/Ukraine/497/2014,Ukraine,2014-12-20,EPI557964,B/Massachusetts/02/2012,3.2,3.11,2.2
B/SouthAfrica/4380/2014,South Africa,2014-06-06,EPI539452,B/Massachusetts/02/2012,2.4,2.34,2.2
B/SouthAfrica/4380/2014,South Africa,2014-06-06,EPI539452,B/Massachusetts/02/2012,2.4,2.34,2.2
