,R0_v_mean,R0_y_mean,w_v_mean,w_y_mean,cv_mean,cy_mean,tv_0_mean,ty_0_mean,det_prob_v_mean,det_prob_y_mean,confirmed_dispersion_v_mean,confirmed_dispersion_y_mean,S_rate_ini_mean,Rcv_rate_ini_mean,Rcy_rate_ini_mean,Rv_rate_ini_mean,Ry_rate_ini_mean,R_rate_ini_mean,R0_v_std,R0_y_std,w_v_std,w_y_std,cv_std,cy_std,tv_0_std,ty_0_std,det_prob_v_std,det_prob_y_std,confirmed_dispersion_v_std,confirmed_dispersion_y_std,S_rate_ini_std,Rcv_rate_ini_std,Rcy_rate_ini_std,Rv_rate_ini_std,Ry_rate_ini_std,R_rate_ini_std,R0_v_neff,R0_y_neff,w_v_neff,w_y_neff,cv_neff,cy_neff,tv_0_neff,ty_0_neff,det_prob_v_neff,det_prob_y_neff,confirmed_dispersion_v_neff,confirmed_dispersion_y_neff,S_rate_ini_neff,Rcv_rate_ini_neff,Rcy_rate_ini_neff,Rv_rate_ini_neff,Ry_rate_ini_neff,R_rate_ini_neff,R0_v_rhat,R0_y_rhat,w_v_rhat,w_y_rhat,cv_rhat,cy_rhat,tv_0_rhat,ty_0_rhat,det_prob_v_rhat,det_prob_y_rhat,confirmed_dispersion_v_rhat,confirmed_dispersion_y_rhat,S_rate_ini_rhat,Rcv_rate_ini_rhat,Rcy_rate_ini_rhat,Rv_rate_ini_rhat,Ry_rate_ini_rhat,R_rate_ini_rhat,bv_log_likelihood_mean,bv_log_likelihood_std,by_log_likelihood_mean,by_log_likelihood_std,runtime,bv_rmse,by_rmse,bv_mape,by_mape,bv_mae,by_mae,bv_corr,by_corr,bv_r2,by_r2,file_num,log_likelihood_sum,log_likelihood_std,neff_mean,rhat_mean
0,1.69,1.201,0.18,0.351,0.195,0.448,20.404,16.086,0.405,0.565,0.897,0.8,0.339,0.089,0.016,0.881,0.669,0.108,0.017,0.013,0.014,0.017,0.02,0.02,0.201,0.169,0.019,0.017,0.078,0.085,0.018,0.009,0.005,0.013,0.018,0.007,1567.0,1076.0,1527.0,1308.0,1233.0,1665.0,1725.0,1374.0,1589.0,1721.0,1503.0,2053.0,1784.0,1062.0,706.0,592.0,1174.0,758.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-568.5453972393307,4.837195579304408,-731.655472272573,8.038617627910583,0.0982989936404758,102.88859861758344,97.21424523764088,1206846958968566.8,0.5357675258669234,39.9640522875817,43.45424836601307,0.52822431964037,0.6626627710037685,-18.061589560081245,0.3867253047478453,1,-1300.2008695119036,12.875813207214991,1356.5,1.0
1,1.701,1.249,0.702,0.413,0.236,0.156,18.212,18.927,0.384,0.492,0.825,1.238,0.362,0.097,0.012,0.513,0.267,0.547,0.019,0.001,0.02,0.014,0.019,0.019,0.179,0.173,0.017,0.016,0.081,0.096,0.016,0.003,0.002,0.018,0.019,0.018,1201.0,1129.0,1245.0,1538.0,1419.0,1247.0,2146.0,1704.0,1652.0,1167.0,1250.0,1336.0,1724.0,724.0,1139.0,947.0,1334.0,1684.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.01,-565.7775220809697,4.168624699666478,-808.9810476835729,11.052385221160364,0.0751206101973851,188.76580139892337,146.19348804824523,279635270980522.1,0.8072348312135882,52.39542483660131,70.39869281045752,0.6430469132053221,0.4390327165288331,-63.16101745663187,-0.3869195951674835,2,-1374.7585697645427,15.221009920826841,1365.888888888889,1.0016666666666667
2,1.55,1.146,0.303,0.703,0.402,0.244,16.629,20.123,0.751,0.891,0.755,1.292,0.251,0.09,0.033,0.361,0.464,0.334,0.018,0.015,0.016,0.019,0.02,0.02,0.184,0.174,0.021,0.018,0.08,0.087,0.017,0.008,0.014,0.018,0.019,0.018,1418.0,1267.0,1508.0,1602.0,1795.0,1587.0,1773.0,1344.0,1509.0,1329.0,1200.0,1139.0,1381.0,545.0,877.0,1404.0,1343.0,1595.0,1.0,1.01,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.01,1.0,-546.3057288494983,3.473917567854857,-816.1128166890607,7.869298064892086,0.0824333744578891,239.959926529138,268.71979842460337,912494042146964.8,1.067540663466746,71.73529411764706,103.49019607843135,0.6675549781221563,0.3214321899684902,-102.6816859398516,-3.6859166355445128,3,-1362.418545538559,11.343215632746944,1367.5555555555557,1.0022222222222223
3,1.399,1.225,0.467,0.574,0.536,0.786,19.399,15.456,0.824,0.92,0.825,0.925,0.689,0.089,0.022,0.322,0.359,0.737,0.017,0.013,0.018,0.018,0.021,0.019,0.195,0.169,0.02,0.02,0.078,0.077,0.017,0.01,0.01,0.019,0.02,0.018,902.0,726.0,922.0,1070.0,1165.0,1184.0,1379.0,1228.0,1134.0,1157.0,1283.0,1218.0,1154.0,553.0,529.0,913.0,1337.0,1102.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.01,1.0,1.0,1.0,-555.0630924719788,3.232175144935198,-754.2478803834131,6.199197272580425,0.0753956781493292,264.0482229674867,153.83433709017586,735882292054005.4,0.7633843594964402,82.11111111111111,72.359477124183,0.5421889171604518,0.6664503408951344,-124.54259692321324,-0.5356837781137749,4,-1309.3109728553918,9.431372417515622,1053.111111111111,1.001111111111111
4,1.728,1.194,0.253,0.82,0.289,0.779,15.396,19.73,0.524,0.683,0.713,1.339,0.61,0.054,0.068,0.558,0.411,0.797,0.016,0.048,0.013,0.041,0.022,0.019,0.184,0.172,0.02,0.02,0.074,0.103,0.024,0.02,0.018,0.023,0.021,0.026,1162.0,3.0,938.0,3.0,20.0,1394.0,618.0,787.0,1137.0,9.0,1346.0,9.0,4.0,6.0,7.0,6.0,8.0,4.0,1.0,1.83,1.01,1.81,1.07,1.0,1.02,1.02,1.01,1.15,1.01,1.16,1.52,1.24,1.21,1.26,1.19,1.48,-540.1216691560661,4.114264919041951,-831.5210051177761,11.186713694466476,0.0857779088947508,176.592483500171,212.5815376055008,824188167100484.4,0.8653612701280876,55.18954248366013,80.73529411764706,0.6099507977788694,0.4159580695471057,-55.15249249910349,-1.9325560119343408,5,-1371.6426742738422,15.300978613508427,414.5,1.2216666666666667
5,1.804,1.148,0.36,0.772,0.066,0.087,14.622,15.007,0.32,0.475,0.75,1.499,0.774,0.024,0.072,0.638,0.271,0.83,0.019,0.015,0.019,0.021,0.019,0.018,0.188,0.159,0.017,0.015,0.082,0.099,0.018,0.011,0.016,0.02,0.017,0.018,1154.0,1108.0,1089.0,1169.0,829.0,1430.0,1207.0,1185.0,1017.0,1164.0,1286.0,1415.0,1151.0,575.0,448.0,906.0,1142.0,1030.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.01,1.0,1.0,1.0,-553.1775427293038,6.171734429768677,-877.0119607257168,10.346184530260896,0.0894332596328523,131.0007795715965,74.5902751726175,353223500185922.4,0.7278925128798238,37.30392156862745,41.39869281045752,0.4818250628154253,0.844740536414587,-29.900988339169285,0.6389564036163531,6,-1430.1895034550207,16.517918960029572,1072.5,1.0016666666666667
6,1.457,1.224,0.89,0.287,0.865,0.513,13.554,18.134,0.864,0.9,1.132,0.724,0.457,0.086,0.015,0.895,0.497,0.436,0.019,0.012,0.02,0.014,0.02,0.019,0.178,0.186,0.02,0.019,0.084,0.072,0.018,0.01,0.005,0.005,0.018,0.018,1391.0,810.0,1087.0,1223.0,1072.0,1337.0,1287.0,1295.0,1658.0,1272.0,1185.0,1371.0,1510.0,798.0,797.0,1077.0,1411.0,1215.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-606.806105216762,5.562750722847994,-712.266419451596,6.4369442146798175,0.0910071865055296,363.4118326784627,145.5409505969148,412094083550244.8,0.8688677602381808,115.98039215686276,69.24509803921569,0.4684510106907802,0.4590594601768439,-236.80596146470663,-0.374566142089302,7,-1319.072524668358,11.999694937527812,1210.888888888889,1.001111111111111
7,2.54,1.249,0.669,0.256,0.722,0.544,12.939,12.916,0.894,0.907,1.676,0.93,0.539,0.093,0.013,0.753,0.682,0.311,0.02,0.001,0.02,0.012,0.019,0.02,0.193,0.189,0.019,0.02,0.088,0.097,0.02,0.006,0.003,0.02,0.021,0.019,1551.0,1046.0,1453.0,1195.0,927.0,1607.0,887.0,1366.0,862.0,1013.0,1046.0,1267.0,1472.0,676.0,1085.0,1421.0,1519.0,1326.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-704.9942467111836,6.48645984678307,-751.7020079010688,9.682611618623389,0.0749159577157762,883.7037172061242,70.154498036628,412094083550297.1,0.5701723910313578,235.81372549019608,38.130718954248366,0.0125596779724705,0.8718899018389863,-1405.170470593855,0.6806210630355578,8,-1456.6962546122522,16.16907146540646,1206.611111111111,1.0005555555555554
8,2.636,1.15,0.761,0.676,0.618,0.908,21.159,16.912,0.67,0.768,0.936,1.073,0.149,0.095,0.013,0.38,0.108,0.47,0.02,0.017,0.02,0.019,0.021,0.018,0.189,0.157,0.018,0.018,0.076,0.084,0.02,0.005,0.003,0.018,0.007,0.019,1462.0,1065.0,1481.0,1762.0,1473.0,1341.0,1387.0,1173.0,1312.0,1450.0,1403.0,1190.0,410.0,868.0,680.0,1301.0,1047.0,1505.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,-571.593573409005,2.999272900638513,-782.2562476104306,7.298738746879771,0.0908937661515341,378.50107925006506,131.04120491517511,353223500185924.3,0.7237712692263563,139.7941176470588,63.94117647058823,0.6754161654530906,0.5893423358161293,-256.9638525670581,-0.1143227147507741,9,-1353.8498210194357,10.298011647518283,1239.4444444444443,1.0016666666666667
9,1.986,1.246,0.5,0.265,0.146,0.294,20.155,15.656,0.54,0.645,0.985,0.916,0.373,0.097,0.012,0.461,0.27,0.308,0.02,0.004,0.02,0.015,0.02,0.019,0.192,0.189,0.02,0.017,0.085,0.098,0.02,0.003,0.002,0.018,0.023,0.017,1615.0,1043.0,1253.0,1134.0,1191.0,1166.0,1508.0,1179.0,1146.0,1177.0,1187.0,1313.0,1460.0,558.0,1121.0,1031.0,1214.0,1105.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,-580.0000059648289,4.900776740994056,-748.9281716647153,11.2258562196356,0.0846702720721562,355.2560776664549,95.13467406340511,353223500185924.3,0.5213312891645608,122.17320261437908,41.3562091503268,0.5182510530490402,0.7666906168121506,-226.25196279804555,0.4126825599767622,10,-1328.9281776295443,16.126632960629657,1188.9444444444443,1.001111111111111
