,week_startdate,year_week,year_month,season,time,ILI%,ILI_total,total_patients,total_samples_phl,H1pdm09_phl,H3N2_phl,H3N2v_phl,A_unspecified_phl,B_unspecified_phl,Victoria_phl,Yamagata_phl,total_samples_cli,A_unspecified_cli,B_unspecified_cli,total_samples,A_unspecified,B_unspecified,H1pdm09_estimate,H3N2_estimate,H3N2v_estimate,Victoria_estimate,Yamagata_estimate,positive_samples,positive_rate,H1N1,H3N2,H3N2v,Victoria,Yamagata,H1N1_proporation,H3N2_proporation,H3N2v_proporation,Victoria_proporation,Yamagata_proporation,population,H1N1_IR,H3N2_IR,Victoria_IR,Yamagata_IR,H1N1_IR_rolling,H3N2_IR_rolling,Victoria_IR_rolling,Yamagata_IR_rolling,BV_antigenic_rate,BV_antigenic_transition,BY_antigenic_rate,BY_antigenic_transition
0,2015-10-04,2015-40,2015-M10,2015-2016,2015.7692307692307,0.0124324652010981,10049,808287,1139,4,65,0,2,10,0,1,12029,84,43,13168,86,53,4.985507246376812,81.01449275362319,0.0,0.0,53.0,209,0.0158718104495747,8.985507246376812,146.0144927536232,0.0,0.0,54.0,0.0429928576381665,0.6986339366202067,0.0,0.0,0.2583732057416268,321311006,2725.873107523944,44295.43799726409,0.0,16381.618062313251,,,,,0.6972993657044533,0,0.9465325078888632,0
1,2015-10-11,2015-41,2015-M10,2015-2016,2015.7884615384612,0.0132339500531087,10715,809660,1152,5,41,0,2,7,3,0,13111,116,54,14263,118,61,12.826086956521738,105.17391304347824,0.0,61.0,0.0,228,0.0159854168127322,17.82608695652174,146.17391304347825,0.0,64.0,0.0,0.078184591914569,0.641113653699466,0.0,0.2807017543859649,0.0,321311006,5314.473325681307,43578.68127058671,19080.255452202156,0.0,,,,,0.6972993657044533,0,0.9465325078888632,0
2,2015-10-18,2015-42,2015-M10,2015-2016,2015.8076923076924,0.0140398676975174,11584,825079,1198,10,50,0,1,8,3,2,13441,97,52,14639,98,60,16.333333333333332,81.66666666666667,0.0,36.0,24.0,223,0.0152332809618143,26.33333333333333,131.66666666666669,0.0,39.0,26.0,0.1180866965620328,0.5904334828101644,0.0,0.1748878923766816,0.116591928251121,321311006,8114.897581931883,40574.48790965942,12018.266039063676,8012.177359375784,,,,,0.6972993657044533,0,0.9465325078888632,0
3,2015-10-25,2015-43,2015-M10,2015-2016,2015.826923076923,0.0137629212305757,11164,811165,1244,9,31,0,4,9,1,4,13537,98,52,14781,102,61,22.95,79.05,0.0,12.2,48.8,208,0.0140721196130167,31.95,110.05,0.0,13.2,52.8,0.1536057692307692,0.5290865384615384,0.0,0.0634615384615384,0.2538461538461539,321311006,9558.79772760552,32924.74772841901,3949.174648024816,15796.698592099265,6428.510435685664,40343.33872648231,8761.924034822661,10047.623503447076,0.6972993657044533,0,0.9465325078888632,0
4,2015-11-01,2015-44,2015-M11,2015-2016,2015.8461538461536,0.0146865671641791,12423,845875,1465,4,23,0,4,9,1,4,14687,97,68,16152,101,77,14.962962962962962,86.03703703703704,0.0,15.4,61.6,210,0.013001485884101,18.96296296296296,109.03703703703704,0.0,16.4,65.6,0.0902998236331569,0.5192239858906526,0.0,0.078095238095238,0.3123809523809523,321502565,5543.507363693338,31875.16734123669,4794.26769656916,19177.07078627664,7132.918999728012,37238.27106247546,9960.49095896495,10746.48668443792,0.6972993657044533,0,0.9465325078888632,0
5,2015-11-08,2015-45,2015-M11,2015-2016,2015.8653846153843,0.0153299704792853,12676,826877,1393,11,34,0,1,10,4,2,15048,122,86,16441,123,96,30.066666666666663,92.93333333333334,0.0,64.0,32.0,270,0.016422358737303,41.06666666666666,126.93333333333334,0.0,68.0,34.0,0.1520987654320987,0.4701234567901234,0.0,0.2518518518518518,0.1259259259259259,321502565,12310.820086232126,38051.62572108112,20384.79949343632,10192.399746718158,8882.005689865717,35856.50717509906,10286.626969273491,13294.586621117462,0.6972993657044533,0,0.9465325078888632,0
6,2015-11-15,2015-46,2015-M11,2015-2016,2015.8846153846157,0.0160840895861364,13484,838344,1458,17,42,0,1,4,0,4,15250,84,98,16708,85,102,24.491525423728813,60.50847457627118,0.0,0.0,102.0,250,0.0149628920277711,41.49152542372882,102.50847457627118,0.0,0.0,106.0,0.1659661016949152,0.4100338983050847,0.0,0.0,0.424,321502565,12841.503095122169,31726.066470301823,0.0,32806.68315232599,10063.657068163287,33644.40181525966,7282.060459507573,19493.213069355013,0.6972993657044533,0,0.9465325078888632,0
7,2015-11-22,2015-47,2015-M11,2015-2016,2015.9038461538464,0.0190046550306531,12158,639738,1157,17,24,0,0,4,3,9,15234,119,92,16391,119,96,49.34146341463414,69.65853658536585,0.0,24.0,72.0,268,0.016350436214996,66.34146341463415,93.65853658536584,0.0,27.0,81.0,0.247542773935202,0.3494721514379322,0.0,0.1007462686567164,0.3022388059701492,321502565,24729.995078921664,34912.934229065875,10064.744320722895,30194.232962168688,13856.456405992323,34141.44844042137,8810.952877682092,23092.59666187237,0.6972993657044533,0,0.9465325078888632,0
8,2015-11-29,2015-48,2015-M11,2015-2016,2015.923076923077,0.0173644563821534,14617,841777,1550,27,36,0,3,9,3,12,16201,145,81,17751,148,90,63.42857142857142,84.57142857142857,0.0,18.0,72.0,316,0.0178018139823108,90.42857142857142,120.57142857142856,0.0,21.0,84.0,0.2861663652802892,0.3815551537070524,0.0,0.0664556962025316,0.2658227848101265,321502565,28439.927165605503,37919.90288747402,6604.532848884693,26418.13139553877,19580.561356470367,35652.6323269807,9263.519165760976,24902.861814187905,0.6972993657044533,0,0.9465325078888632,0
9,2015-12-06,2015-49,2015-M12,2015-2016,2015.942307692308,0.0181944668715254,14986,823657,1518,38,37,0,3,11,2,11,16673,140,106,18191,143,117,72.45333333333333,70.54666666666667,0.0,18.0,99.0,348,0.0191303391787147,110.45333333333332,107.54666666666668,0.0,20.0,110.0,0.3173946360153257,0.3090421455938697,0.0,0.057471264367816,0.3160919540229885,321710374,35540.75530278459,34605.47226850078,6435.433722136273,35394.8854717495,25388.045160608483,34791.09396383562,5776.177722935966,31203.48324544574,0.6972993657044533,0,0.9465325078888632,0
