,epidemic_season,cluster4_num,cluster4_proportion,cluster1_num,cluster1_proportion,cluster3_num,cluster3_proportion,cluster5_num,cluster5_proportion,cluster6_num,cluster6_proportion,cluster2_num,cluster2_proportion,cluster_predominant,num_predominant,year,season
0,2002-summer,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,5.0,2002,summer
1,2002-winter,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,2.0,2002,winter
2,2003-summer,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,2003,summer
3,2003-winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,2003,winter
4,2004-summer,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,2004,summer
5,2005-summer,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,4.0,2005,summer
6,2005-winter,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,12.0,2005,winter
7,2006-summer,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,5.0,2006,summer
8,2006-winter,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,4.0,2006,winter
9,2007-summer,9.0,0.9,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,9.0,2007,summer
10,2007-winter,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,4.0,2007,winter
11,2008-summer,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,2008,summer
12,2009-summer,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,19.0,2009,summer
13,2009-winter,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,11.0,2009,winter
14,2010-summer,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,27.0,2010,summer
