,epidemic_season,cluster7_num,cluster7_proportion,cluster4_num,cluster4_proportion,cluster3_num,cluster3_proportion,cluster1_num,cluster1_proportion,cluster2_num,cluster2_proportion,cluster5_num,cluster5_proportion,cluster6_num,cluster6_proportion,cluster_predominant,num_predominant,year,season
0,1986-winter,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,2.0,1986,winter
1,1987-winter,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,4.0,1987,winter
2,1988-winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,1.0,1988,winter
3,1990-winter,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,1990,winter
4,1992-winter,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,3.0,1992,winter
5,1993-winter,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,3.0,1993,winter
6,1994-summer,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,1994,summer
7,1994-winter,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,1994,winter
8,1995-winter,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,4.0,1995,winter
9,1996-winter,0.0,0.0,32.0,0.9696969696969697,1.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,32.0,1996,winter
10,1997-winter,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,8.0,1997,winter
11,1998-winter,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,6.0,1998,winter
12,1999-winter,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,4.0,1999,winter
13,2000-winter,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,32.0,2000,winter
14,2001-summer,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,6.0,2001,summer
15,2001-winter,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,18.0,2001,winter
16,2002-summer,0.0,0.0,7.0,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,7.0,2002,summer
17,2002-winter,0.0,0.0,20.0,0.9523809523809523,0.0,0.0,1.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,20.0,2002,winter
18,2003-summer,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,2003,summer
19,2003-winter,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,13.0,2003,winter
20,2004-summer,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,4.0,2004,summer
21,2004-winter,0.0,0.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,76.0,2004,winter
22,2005-summer,0.0,0.0,13.0,0.9285714285714286,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,13.0,2005,summer
23,2005-winter,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,70.0,2005,winter
24,2006-summer,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,18.0,2006,summer
25,2006-winter,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,60.0,2006,winter
26,2007-summer,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,16.0,2007,summer
27,2007-winter,0.0,0.0,76.0,0.9743589743589743,0.0,0.0,2.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,76.0,2007,winter
28,2008-summer,0.0,0.0,17.0,0.8095238095238095,0.0,0.0,4.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,17.0,2008,summer
29,2008-winter,0.0,0.0,52.0,0.37681159420289856,0.0,0.0,86.0,0.6231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,86.0,2008,winter
30,2009-summer,0.0,0.0,14.0,0.42424242424242425,0.0,0.0,19.0,0.5757575757575758,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,19.0,2009,summer
31,2009-winter,0.0,0.0,23.0,0.13450292397660818,0.0,0.0,148.0,0.8654970760233918,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,148.0,2009,winter
32,2010-summer,0.0,0.0,9.0,0.08108108108108109,0.0,0.0,102.0,0.918918918918919,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,102.0,2010,summer
33,2010-winter,0.0,0.0,25.0,0.14367816091954022,0.0,0.0,149.0,0.8563218390804598,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,149.0,2010,winter
34,2011-summer,0.0,0.0,3.0,0.027777777777777776,0.0,0.0,105.0,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,105.0,2011,summer
35,2011-winter,0.0,0.0,2.0,0.00823045267489712,0.0,0.0,241.0,0.9917695473251029,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,241.0,2011,winter
36,2012-summer,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.975609756097561,1.0,0.024390243902439025,0.0,0.0,0.0,0.0,cluster1,40.0,2012,summer
37,2012-winter,0.0,0.0,0.0,0.0,1.0,0.00684931506849315,145.0,0.9931506849315068,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,145.0,2012,winter
38,2013-summer,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,51.0,2013,summer
39,2013-winter,0.0,0.0,0.0,0.0,1.0,0.007246376811594203,137.0,0.9927536231884058,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,137.0,2013,winter
40,2014-summer,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,31.0,2014,summer
