,epidemic_season,cluster7_num,cluster7_proportion,cluster4_num,cluster4_proportion,cluster1_num,cluster1_proportion,cluster2_num,cluster2_proportion,cluster3_num,cluster3_proportion,cluster6_num,cluster6_proportion,cluster5_num,cluster5_proportion,cluster_predominant,num_predominant,year,season
0,1986-winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,1.0,1986,winter
1,1987-winter,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,2.0,1987,winter
2,1988-winter,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,1988,winter
3,1989-winter,11.0,0.55,9.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,11.0,1989,winter
4,1990-winter,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,3.0,1990,winter
5,2000-winter,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,2000,winter
6,2001-winter,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,30.0,2001,winter
7,2002-winter,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,46.0,2002,winter
8,2003-winter,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,4.0,2003,winter
9,2004-winter,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,12.0,2004,winter
10,2005-winter,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,13.0,2005,winter
11,2006-winter,0.0,0.0,10.0,0.7142857142857143,4.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,10.0,2006,winter
12,2007-summer,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,2.0,2007,summer
13,2007-winter,0.0,0.0,3.0,0.6,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,3.0,2007,winter
14,2008-summer,0.0,0.0,2.0,0.5,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,2.0,2008,summer
15,2008-winter,0.0,0.0,4.0,0.0975609756097561,37.0,0.9024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,37.0,2008,winter
