,epidemic_season,cluster7_num,cluster7_proportion,cluster4_num,cluster4_proportion,cluster3_num,cluster3_proportion,cluster1_num,cluster1_proportion,cluster2_num,cluster2_proportion,cluster6_num,cluster6_proportion,cluster5_num,cluster5_proportion,cluster_predominant,num_predominant,year,season
0,1986-winter,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,4.0,1986,winter
1,1987-winter,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,8.0,1987,winter
2,1988-winter,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,2.0,1988,winter
3,1989-winter,11.0,0.55,9.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,11.0,1989,winter
4,1990-winter,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,4.0,1990,winter
5,1992-winter,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,3.0,1992,winter
6,1993-winter,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,3.0,1993,winter
7,1994-summer,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,1994,summer
8,1994-winter,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,1994,winter
9,1995-winter,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,4.0,1995,winter
10,1996-winter,0.0,0.0,32.0,0.9696969696969697,1.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,32.0,1996,winter
