,epidemic_season,cluster7_num,cluster7_proportion,cluster4_num,cluster4_proportion,cluster1_num,cluster1_proportion,cluster2_num,cluster2_proportion,cluster5_num,cluster5_proportion,cluster3_num,cluster3_proportion,cluster6_num,cluster6_proportion,cluster_predominant,num_predominant,year,season
0,1986-winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,1.0,1986,winter
1,1987-winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,1.0,1987,winter
2,1988-winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,1.0,1988,winter
3,1999-winter,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,1999,winter
4,2001-winter,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,7.0,2001,winter
5,2002-summer,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,23.0,2002,summer
6,2002-winter,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,2002,winter
7,2004-summer,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,2.0,2004,summer
8,2004-winter,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,2004,winter
9,2005-summer,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,23.0,2005,summer
10,2005-winter,0.0,0.0,12.0,0.9230769230769231,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,12.0,2005,winter
11,2006-summer,0.0,0.0,18.0,0.9473684210526315,1.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,18.0,2006,summer
12,2006-winter,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,4.0,2006,winter
13,2007-summer,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,2.0,2007,summer
14,2007-winter,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,2.0,2007,winter
15,2008-summer,0.0,0.0,8.0,0.14814814814814814,46.0,0.8518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,46.0,2008,summer
