,epidemic_season,cluster1_num,cluster1_proportion,cluster4_num,cluster4_proportion,cluster2_num,cluster2_proportion,cluster5_num,cluster5_proportion,cluster3_num,cluster3_proportion,cluster6_num,cluster6_proportion,cluster_predominant,num_predominant,year,season
0,2001-winter,1.0,0.14285714285714285,6.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,6.0,2001,winter
1,2002-summer,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,10.0,2002,summer
2,2003-winter,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,2.0,2003,winter
3,2004-summer,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,2.0,2004,summer
4,2004-winter,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,2.0,2004,winter
5,2005-summer,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,4.0,2005,summer
6,2005-winter,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,9.0,2005,winter
7,2006-summer,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,16.0,2006,summer
8,2006-winter,0.0,0.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,87.0,2006,winter
9,2007-summer,1.0,0.16666666666666666,5.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,5.0,2007,summer
10,2007-winter,4.0,0.3333333333333333,8.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,8.0,2007,winter
11,2008-summer,37.0,0.925,3.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,37.0,2008,summer
12,2009-winter,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,13.0,2009,winter
13,2010-summer,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,16.0,2010,summer
14,2010-winter,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,3.0,2010,winter
15,2011-summer,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,8.0,2011,summer
16,2011-winter,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,9.0,2011,winter
17,2012-summer,43.0,0.9772727272727273,0.0,0.0,1.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,43.0,2012,summer
18,2012-winter,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,3.0,2012,winter
19,2013-summer,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,25.0,2013,summer
20,2013-winter,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,25.0,2013,winter
21,2014-summer,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster1,18.0,2014,summer
