,epidemic_season,cluster7_num,cluster7_proportion,cluster4_num,cluster4_proportion,cluster1_num,cluster1_proportion,cluster2_num,cluster2_proportion,cluster5_num,cluster5_proportion,cluster3_num,cluster3_proportion,cluster6_num,cluster6_proportion,cluster_predominant,num_predominant,year,season
0,1986-winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,1.0,1986,winter
1,1987-winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,1.0,1987,winter
2,1988-winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster7,1.0,1988,winter
3,1999-winter,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,1999,winter
4,2001-winter,0.0,0.0,13.0,0.9285714285714286,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,13.0,2001,winter
5,2002-summer,0.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,38.0,2002,summer
6,2002-winter,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,3.0,2002,winter
7,2003-summer,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,1.0,2003,summer
8,2003-winter,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,3.0,2003,winter
9,2004-summer,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,5.0,2004,summer
10,2004-winter,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,3.0,2004,winter
11,2005-summer,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,31.0,2005,summer
12,2005-winter,0.0,0.0,33.0,0.9705882352941176,1.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,33.0,2005,winter
13,2006-summer,0.0,0.0,39.0,0.975,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,39.0,2006,summer
14,2006-winter,0.0,0.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,95.0,2006,winter
15,2007-summer,0.0,0.0,16.0,0.8421052631578947,3.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,16.0,2007,summer
16,2007-winter,0.0,0.0,12.0,0.6666666666666666,6.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster4,12.0,2007,winter
