,epidemic_season,cluster3_num,cluster3_proportion,cluster2_num,cluster2_proportion,cluster1_num,cluster1_proportion,cluster_predominant,num_predominant,year,season
0,1987-winter,1.0,1.0,0.0,0.0,0.0,0.0,cluster3,1.0,1987,winter
1,1988-winter,3.0,1.0,0.0,0.0,0.0,0.0,cluster3,3.0,1988,winter
2,1989-winter,2.0,1.0,0.0,0.0,0.0,0.0,cluster3,2.0,1989,winter
3,1990-winter,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,cluster3,2.0,1990,winter
4,1991-summer,1.0,1.0,0.0,0.0,0.0,0.0,cluster3,1.0,1991,summer
5,1991-winter,1.0,0.2,4.0,0.8,0.0,0.0,cluster2,4.0,1991,winter
6,1992-winter,0.0,0.0,8.0,1.0,0.0,0.0,cluster2,8.0,1992,winter
7,1993-winter,0.0,0.0,10.0,1.0,0.0,0.0,cluster2,10.0,1993,winter
8,1994-summer,0.0,0.0,5.0,1.0,0.0,0.0,cluster2,5.0,1994,summer
9,1994-winter,0.0,0.0,15.0,1.0,0.0,0.0,cluster2,15.0,1994,winter
10,1995-winter,0.0,0.0,11.0,1.0,0.0,0.0,cluster2,11.0,1995,winter
11,1996-winter,0.0,0.0,4.0,1.0,0.0,0.0,cluster2,4.0,1996,winter
12,1997-winter,0.0,0.0,13.0,1.0,0.0,0.0,cluster2,13.0,1997,winter
13,1998-summer,0.0,0.0,2.0,1.0,0.0,0.0,cluster2,2.0,1998,summer
14,1998-winter,0.0,0.0,20.0,1.0,0.0,0.0,cluster2,20.0,1998,winter
15,1999-summer,0.0,0.0,5.0,1.0,0.0,0.0,cluster2,5.0,1999,summer
16,1999-winter,0.0,0.0,19.0,1.0,0.0,0.0,cluster2,19.0,1999,winter
17,2000-summer,0.0,0.0,11.0,1.0,0.0,0.0,cluster2,11.0,2000,summer
18,2000-winter,0.0,0.0,57.0,1.0,0.0,0.0,cluster2,57.0,2000,winter
