,epidemic_season,cluster3_num,cluster3_proportion,cluster2_num,cluster2_proportion,cluster1_num,cluster1_proportion,cluster4_num,cluster4_proportion,cluster_predominant,num_predominant,year,season
0,1990-winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster3,1.0,1990,winter
1,1992-winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster3,1.0,1992,winter
2,1994-winter,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,cluster2,9.0,1994,winter
3,1995-winter,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,cluster2,5.0,1995,winter
4,1996-winter,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,cluster2,12.0,1996,winter
5,1997-winter,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,cluster2,3.0,1997,winter
6,1998-winter,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,cluster2,7.0,1998,winter
7,1999-winter,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,cluster2,6.0,1999,winter
8,2000-winter,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,cluster2,16.0,2000,winter
9,2001-winter,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,cluster2,6.0,2001,winter
10,2002-winter,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,cluster2,9.0,2002,winter
11,2003-winter,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,cluster2,4.0,2003,winter
12,2004-winter,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,cluster2,17.0,2004,winter
13,2005-winter,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,cluster2,1.0,2005,winter
14,2006-winter,0.0,0.0,8.0,0.8888888888888888,1.0,0.1111111111111111,0.0,0.0,cluster2,8.0,2006,winter
15,2007-summer,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,cluster1,1.0,2007,summer
16,2007-winter,0.0,0.0,26.0,0.5416666666666666,22.0,0.4583333333333333,0.0,0.0,cluster2,26.0,2007,winter
17,2008-summer,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,cluster2,2.0,2008,summer
18,2008-winter,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,cluster1,3.0,2008,winter
19,2009-summer,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,cluster2,1.0,2009,summer
20,2009-winter,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,cluster1,9.0,2009,winter
21,2010-winter,0.0,0.0,19.0,0.25333333333333335,56.0,0.7466666666666667,0.0,0.0,cluster1,56.0,2010,winter
22,2011-summer,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,cluster1,1.0,2011,summer
23,2011-winter,0.0,0.0,67.0,0.4161490683229814,94.0,0.5838509316770186,0.0,0.0,cluster1,94.0,2011,winter
24,2012-summer,0.0,0.0,7.0,0.6363636363636364,4.0,0.36363636363636365,0.0,0.0,cluster2,7.0,2012,summer
25,2012-winter,0.0,0.0,341.0,0.722457627118644,131.0,0.2775423728813559,0.0,0.0,cluster2,341.0,2012,winter
26,2013-summer,0.0,0.0,7.0,0.6363636363636364,4.0,0.36363636363636365,0.0,0.0,cluster2,7.0,2013,summer
27,2013-winter,0.0,0.0,34.0,0.2857142857142857,85.0,0.7142857142857143,0.0,0.0,cluster1,85.0,2013,winter
28,2014-summer,0.0,0.0,4.0,0.16,21.0,0.84,0.0,0.0,cluster1,21.0,2014,summer
29,2014-winter,0.0,0.0,2.0,0.0030627871362940277,651.0,0.996937212863706,0.0,0.0,cluster1,651.0,2014,winter
30,2015-summer,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,cluster1,11.0,2015,summer
31,2015-winter,0.0,0.0,1.0,0.011111111111111112,89.0,0.9888888888888889,0.0,0.0,cluster1,89.0,2015,winter
32,2016-summer,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,cluster1,20.0,2016,summer
33,2016-winter,0.0,0.0,0.0,0.0,321.0,1.0,0.0,0.0,cluster1,321.0,2016,winter
34,2017-summer,0.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,cluster1,47.0,2017,summer
35,2017-winter,0.0,0.0,0.0,0.0,2722.0,1.0,0.0,0.0,cluster1,2722.0,2017,winter
36,2018-summer,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,cluster1,12.0,2018,summer
37,2018-winter,0.0,0.0,0.0,0.0,76.0,0.9620253164556962,3.0,0.0379746835443038,cluster1,76.0,2018,winter
38,2019-summer,0.0,0.0,0.0,0.0,6.0,0.75,2.0,0.25,cluster1,6.0,2019,summer
39,2019-winter,0.0,0.0,0.0,0.0,51.0,1.0,0.0,0.0,cluster1,51.0,2019,winter
