,epidemic_season,cluster3_num,cluster3_proportion,cluster2_num,cluster2_proportion,cluster1_num,cluster1_proportion,cluster_predominant,num_predominant,year,season
0,1988-winter,1.0,1.0,0.0,0.0,0.0,0.0,cluster3,1.0,1988,winter
1,1989-winter,2.0,1.0,0.0,0.0,0.0,0.0,cluster3,2.0,1989,winter
2,1990-winter,1.0,1.0,0.0,0.0,0.0,0.0,cluster3,1.0,1990,winter
3,1991-winter,1.0,1.0,0.0,0.0,0.0,0.0,cluster3,1.0,1991,winter
4,1992-winter,1.0,1.0,0.0,0.0,0.0,0.0,cluster3,1.0,1992,winter
5,1993-winter,3.0,0.3333333333333333,6.0,0.6666666666666666,0.0,0.0,cluster2,6.0,1993,winter
6,1994-winter,0.0,0.0,13.0,1.0,0.0,0.0,cluster2,13.0,1994,winter
7,1995-winter,0.0,0.0,10.0,1.0,0.0,0.0,cluster2,10.0,1995,winter
8,1996-winter,0.0,0.0,10.0,1.0,0.0,0.0,cluster2,10.0,1996,winter
9,1997-winter,0.0,0.0,12.0,1.0,0.0,0.0,cluster2,12.0,1997,winter
10,1998-summer,0.0,0.0,1.0,1.0,0.0,0.0,cluster2,1.0,1998,summer
11,1998-winter,0.0,0.0,13.0,1.0,0.0,0.0,cluster2,13.0,1998,winter
12,1999-winter,0.0,0.0,13.0,1.0,0.0,0.0,cluster2,13.0,1999,winter
13,2000-summer,0.0,0.0,4.0,1.0,0.0,0.0,cluster2,4.0,2000,summer
14,2000-winter,0.0,0.0,54.0,1.0,0.0,0.0,cluster2,54.0,2000,winter
15,2001-summer,0.0,0.0,5.0,1.0,0.0,0.0,cluster2,5.0,2001,summer
16,2001-winter,0.0,0.0,12.0,1.0,0.0,0.0,cluster2,12.0,2001,winter
17,2002-winter,0.0,0.0,3.0,1.0,0.0,0.0,cluster2,3.0,2002,winter
18,2003-summer,0.0,0.0,2.0,1.0,0.0,0.0,cluster2,2.0,2003,summer
19,2003-winter,0.0,0.0,20.0,1.0,0.0,0.0,cluster2,20.0,2003,winter
20,2004-summer,0.0,0.0,5.0,1.0,0.0,0.0,cluster2,5.0,2004,summer
21,2004-winter,0.0,0.0,68.0,1.0,0.0,0.0,cluster2,68.0,2004,winter
22,2005-summer,0.0,0.0,3.0,1.0,0.0,0.0,cluster2,3.0,2005,summer
23,2005-winter,0.0,0.0,22.0,1.0,0.0,0.0,cluster2,22.0,2005,winter
24,2006-summer,0.0,0.0,2.0,1.0,0.0,0.0,cluster2,2.0,2006,summer
25,2006-winter,0.0,0.0,19.0,0.95,1.0,0.05,cluster2,19.0,2006,winter
26,2007-summer,0.0,0.0,4.0,1.0,0.0,0.0,cluster2,4.0,2007,summer
27,2007-winter,0.0,0.0,54.0,0.40601503759398494,79.0,0.5939849624060151,cluster1,79.0,2007,winter
28,2008-summer,0.0,0.0,7.0,0.2916666666666667,17.0,0.7083333333333334,cluster1,17.0,2008,summer
29,2008-winter,0.0,0.0,7.0,0.2413793103448276,22.0,0.7586206896551724,cluster1,22.0,2008,winter
30,2009-summer,0.0,0.0,1.0,0.2,4.0,0.8,cluster1,4.0,2009,summer
31,2009-winter,0.0,0.0,1.0,0.2,4.0,0.8,cluster1,4.0,2009,winter
32,2010-summer,0.0,0.0,0.0,0.0,9.0,1.0,cluster1,9.0,2010,summer
33,2010-winter,0.0,0.0,0.0,0.0,41.0,1.0,cluster1,41.0,2010,winter
34,2011-summer,0.0,0.0,0.0,0.0,3.0,1.0,cluster1,3.0,2011,summer
35,2011-winter,0.0,0.0,38.0,0.5507246376811594,31.0,0.4492753623188406,cluster2,38.0,2011,winter
36,2012-summer,0.0,0.0,47.0,0.9591836734693877,2.0,0.04081632653061224,cluster2,47.0,2012,summer
37,2012-winter,0.0,0.0,144.0,0.9411764705882353,9.0,0.058823529411764705,cluster2,144.0,2012,winter
38,2013-summer,0.0,0.0,13.0,0.7647058823529411,4.0,0.23529411764705882,cluster2,13.0,2013,summer
39,2013-winter,0.0,0.0,14.0,0.12389380530973451,99.0,0.8761061946902655,cluster1,99.0,2013,winter
40,2014-summer,0.0,0.0,1.0,0.015625,63.0,0.984375,cluster1,63.0,2014,summer
41,2014-winter,0.0,0.0,2.0,0.004545454545454545,438.0,0.9954545454545455,cluster1,438.0,2014,winter
42,2015-summer,0.0,0.0,0.0,0.0,114.0,1.0,cluster1,114.0,2015,summer
43,2015-winter,0.0,0.0,1.0,0.0010799136069114472,925.0,0.9989200863930886,cluster1,925.0,2015,winter
44,2016-summer,0.0,0.0,0.0,0.0,136.0,1.0,cluster1,136.0,2016,summer
45,2016-winter,0.0,0.0,0.0,0.0,860.0,1.0,cluster1,860.0,2016,winter
46,2017-summer,0.0,0.0,0.0,0.0,230.0,1.0,cluster1,230.0,2017,summer
47,2017-winter,0.0,0.0,0.0,0.0,2041.0,1.0,cluster1,2041.0,2017,winter
48,2018-summer,0.0,0.0,0.0,0.0,152.0,1.0,cluster1,152.0,2018,summer
49,2018-winter,0.0,0.0,0.0,0.0,370.0,1.0,cluster1,370.0,2018,winter
50,2019-summer,0.0,0.0,0.0,0.0,75.0,1.0,cluster1,75.0,2019,summer
51,2019-winter,0.0,0.0,0.0,0.0,199.0,1.0,cluster1,199.0,2019,winter
