,epidemic_season,cluster3_num,cluster3_proportion,cluster2_num,cluster2_proportion,cluster1_num,cluster1_proportion,cluster4_num,cluster4_proportion,cluster_predominant,num_predominant,year,season
0,1987-winter,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster3,1.0,1987,winter
1,1988-winter,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster3,4.0,1988,winter
2,1989-winter,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster3,4.0,1989,winter
3,1990-winter,4.0,0.8,1.0,0.2,0.0,0.0,0.0,0.0,cluster3,4.0,1990,winter
4,1991-summer,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster3,1.0,1991,summer
5,1991-winter,2.0,0.3333333333333333,4.0,0.6666666666666666,0.0,0.0,0.0,0.0,cluster2,4.0,1991,winter
6,1992-winter,2.0,0.2,8.0,0.8,0.0,0.0,0.0,0.0,cluster2,8.0,1992,winter
7,1993-winter,3.0,0.15789473684210525,16.0,0.8421052631578947,0.0,0.0,0.0,0.0,cluster2,16.0,1993,winter
8,1994-summer,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,cluster2,5.0,1994,summer
9,1994-winter,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,cluster2,37.0,1994,winter
10,1995-winter,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,cluster2,26.0,1995,winter
11,1996-winter,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,cluster2,26.0,1996,winter
12,1997-winter,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,cluster2,28.0,1997,winter
13,1998-summer,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,cluster2,3.0,1998,summer
14,1998-winter,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,cluster2,40.0,1998,winter
15,1999-summer,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,cluster2,5.0,1999,summer
16,1999-winter,0.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,cluster2,38.0,1999,winter
17,2000-summer,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,cluster2,15.0,2000,summer
18,2000-winter,0.0,0.0,127.0,1.0,0.0,0.0,0.0,0.0,cluster2,127.0,2000,winter
19,2001-summer,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,cluster2,22.0,2001,summer
20,2001-winter,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,cluster2,30.0,2001,winter
21,2002-summer,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,cluster2,2.0,2002,summer
22,2002-winter,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,cluster2,27.0,2002,winter
23,2003-summer,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,cluster2,9.0,2003,summer
24,2003-winter,0.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,cluster2,63.0,2003,winter
25,2004-summer,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,cluster2,17.0,2004,summer
26,2004-winter,0.0,0.0,128.0,1.0,0.0,0.0,0.0,0.0,cluster2,128.0,2004,winter
27,2005-summer,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,cluster2,7.0,2005,summer
28,2005-winter,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,cluster2,40.0,2005,winter
29,2006-summer,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,cluster2,9.0,2006,summer
30,2006-winter,0.0,0.0,53.0,0.8688524590163934,8.0,0.13114754098360656,0.0,0.0,cluster2,53.0,2006,winter
31,2007-summer,0.0,0.0,23.0,0.6388888888888888,13.0,0.3611111111111111,0.0,0.0,cluster2,23.0,2007,summer
