,epidemic_season,cluster2_num,cluster2_proportion,cluster1_num,cluster1_proportion,cluster_predominant,num_predominant,year,season
0,1993-winter,3.0,1.0,0.0,0.0,cluster2,3.0,1993,winter
1,1995-summer,1.0,1.0,0.0,0.0,cluster2,1.0,1995,summer
2,1995-winter,1.0,1.0,0.0,0.0,cluster2,1.0,1995,winter
3,1996-winter,1.0,1.0,0.0,0.0,cluster2,1.0,1996,winter
4,1998-summer,1.0,1.0,0.0,0.0,cluster2,1.0,1998,summer
5,1998-winter,5.0,1.0,0.0,0.0,cluster2,5.0,1998,winter
6,1999-summer,4.0,1.0,0.0,0.0,cluster2,4.0,1999,summer
7,1999-winter,2.0,1.0,0.0,0.0,cluster2,2.0,1999,winter
8,2000-summer,27.0,1.0,0.0,0.0,cluster2,27.0,2000,summer
9,2000-winter,4.0,1.0,0.0,0.0,cluster2,4.0,2000,winter
10,2001-summer,27.0,1.0,0.0,0.0,cluster2,27.0,2001,summer
11,2001-winter,1.0,1.0,0.0,0.0,cluster2,1.0,2001,winter
12,2002-summer,1.0,1.0,0.0,0.0,cluster2,1.0,2002,summer
13,2003-summer,1.0,1.0,0.0,0.0,cluster2,1.0,2003,summer
14,2004-summer,27.0,1.0,0.0,0.0,cluster2,27.0,2004,summer
15,2004-winter,7.0,1.0,0.0,0.0,cluster2,7.0,2004,winter
16,2005-summer,14.0,1.0,0.0,0.0,cluster2,14.0,2005,summer
17,2005-winter,1.0,1.0,0.0,0.0,cluster2,1.0,2005,winter
18,2006-summer,5.0,1.0,0.0,0.0,cluster2,5.0,2006,summer
19,2006-winter,7.0,0.875,1.0,0.125,cluster2,7.0,2006,winter
20,2007-summer,13.0,1.0,0.0,0.0,cluster2,13.0,2007,summer
21,2007-winter,6.0,0.6,4.0,0.4,cluster2,6.0,2007,winter
22,2008-summer,22.0,0.7333333333333333,8.0,0.26666666666666666,cluster2,22.0,2008,summer
23,2008-winter,0.0,0.0,1.0,1.0,cluster1,1.0,2008,winter
24,2009-summer,0.0,0.0,1.0,1.0,cluster1,1.0,2009,summer
25,2010-summer,0.0,0.0,3.0,1.0,cluster1,3.0,2010,summer
26,2010-winter,0.0,0.0,4.0,1.0,cluster1,4.0,2010,winter
27,2011-summer,2.0,0.2222222222222222,7.0,0.7777777777777778,cluster1,7.0,2011,summer
28,2011-winter,5.0,0.3125,11.0,0.6875,cluster1,11.0,2011,winter
29,2012-summer,30.0,0.7692307692307693,9.0,0.23076923076923078,cluster2,30.0,2012,summer
30,2012-winter,12.0,0.8,3.0,0.2,cluster2,12.0,2012,winter
31,2013-summer,84.0,0.9230769230769231,7.0,0.07692307692307693,cluster2,84.0,2013,summer
32,2013-winter,22.0,0.4782608695652174,24.0,0.5217391304347826,cluster1,24.0,2013,winter
33,2014-summer,6.0,0.11320754716981132,47.0,0.8867924528301887,cluster1,47.0,2014,summer
34,2014-winter,1.0,0.03225806451612903,30.0,0.967741935483871,cluster1,30.0,2014,winter
35,2015-summer,2.0,0.017857142857142856,110.0,0.9821428571428571,cluster1,110.0,2015,summer
36,2015-winter,0.0,0.0,18.0,1.0,cluster1,18.0,2015,winter
37,2016-summer,0.0,0.0,96.0,1.0,cluster1,96.0,2016,summer
38,2016-winter,0.0,0.0,29.0,1.0,cluster1,29.0,2016,winter
39,2017-summer,0.0,0.0,184.0,1.0,cluster1,184.0,2017,summer
40,2017-winter,0.0,0.0,51.0,1.0,cluster1,51.0,2017,winter
41,2018-summer,0.0,0.0,107.0,1.0,cluster1,107.0,2018,summer
42,2018-winter,0.0,0.0,47.0,1.0,cluster1,47.0,2018,winter
43,2019-summer,0.0,0.0,9.0,1.0,cluster1,9.0,2019,summer
44,2019-winter,0.0,0.0,2.0,1.0,cluster1,2.0,2019,winter
