,epidemic_season,cluster3_num,cluster3_proportion,cluster2_num,cluster2_proportion,cluster1_num,cluster1_proportion,cluster_predominant,num_predominant,year,season
0,1990-winter,1.0,1.0,0.0,0.0,0.0,0.0,cluster3,1.0,1990,winter
1,1994-winter,0.0,0.0,2.0,1.0,0.0,0.0,cluster2,2.0,1994,winter
2,1995-winter,0.0,0.0,1.0,1.0,0.0,0.0,cluster2,1.0,1995,winter
3,1996-winter,0.0,0.0,2.0,1.0,0.0,0.0,cluster2,2.0,1996,winter
4,1998-winter,0.0,0.0,7.0,1.0,0.0,0.0,cluster2,7.0,1998,winter
5,1999-winter,0.0,0.0,4.0,1.0,0.0,0.0,cluster2,4.0,1999,winter
6,2000-summer,0.0,0.0,5.0,1.0,0.0,0.0,cluster2,5.0,2000,summer
7,2000-winter,0.0,0.0,5.0,1.0,0.0,0.0,cluster2,5.0,2000,winter
8,2001-summer,0.0,0.0,9.0,1.0,0.0,0.0,cluster2,9.0,2001,summer
9,2001-winter,0.0,0.0,1.0,1.0,0.0,0.0,cluster2,1.0,2001,winter
10,2002-summer,0.0,0.0,7.0,1.0,0.0,0.0,cluster2,7.0,2002,summer
11,2003-winter,0.0,0.0,3.0,1.0,0.0,0.0,cluster2,3.0,2003,winter
12,2004-summer,0.0,0.0,1.0,1.0,0.0,0.0,cluster2,1.0,2004,summer
13,2004-winter,0.0,0.0,3.0,1.0,0.0,0.0,cluster2,3.0,2004,winter
14,2005-summer,0.0,0.0,3.0,1.0,0.0,0.0,cluster2,3.0,2005,summer
15,2005-winter,0.0,0.0,3.0,1.0,0.0,0.0,cluster2,3.0,2005,winter
16,2006-summer,0.0,0.0,9.0,1.0,0.0,0.0,cluster2,9.0,2006,summer
17,2006-winter,0.0,0.0,8.0,1.0,0.0,0.0,cluster2,8.0,2006,winter
18,2007-summer,0.0,0.0,4.0,1.0,0.0,0.0,cluster2,4.0,2007,summer
19,2007-winter,0.0,0.0,14.0,0.8235294117647058,3.0,0.17647058823529413,cluster2,14.0,2007,winter
20,2008-summer,0.0,0.0,11.0,0.4782608695652174,12.0,0.5217391304347826,cluster1,12.0,2008,summer
21,2008-winter,0.0,0.0,1.0,1.0,0.0,0.0,cluster2,1.0,2008,winter
22,2010-summer,0.0,0.0,0.0,0.0,8.0,1.0,cluster1,8.0,2010,summer
23,2011-summer,0.0,0.0,0.0,0.0,1.0,1.0,cluster1,1.0,2011,summer
24,2011-winter,0.0,0.0,1.0,0.5,1.0,0.5,cluster2,1.0,2011,winter
25,2012-summer,0.0,0.0,21.0,0.84,4.0,0.16,cluster2,21.0,2012,summer
26,2012-winter,0.0,0.0,4.0,0.6666666666666666,2.0,0.3333333333333333,cluster2,4.0,2012,winter
27,2013-summer,0.0,0.0,3.0,0.3333333333333333,6.0,0.6666666666666666,cluster1,6.0,2013,summer
28,2013-winter,0.0,0.0,1.0,0.16666666666666666,5.0,0.8333333333333334,cluster1,5.0,2013,winter
29,2014-summer,0.0,0.0,3.0,0.05,57.0,0.95,cluster1,57.0,2014,summer
30,2014-winter,0.0,0.0,0.0,0.0,40.0,1.0,cluster1,40.0,2014,winter
31,2015-summer,0.0,0.0,0.0,0.0,90.0,1.0,cluster1,90.0,2015,summer
32,2015-winter,0.0,0.0,0.0,0.0,9.0,1.0,cluster1,9.0,2015,winter
33,2016-summer,0.0,0.0,0.0,0.0,42.0,1.0,cluster1,42.0,2016,summer
34,2016-winter,0.0,0.0,0.0,0.0,30.0,1.0,cluster1,30.0,2016,winter
35,2017-summer,0.0,0.0,0.0,0.0,231.0,1.0,cluster1,231.0,2017,summer
36,2017-winter,0.0,0.0,0.0,0.0,142.0,1.0,cluster1,142.0,2017,winter
37,2018-summer,0.0,0.0,0.0,0.0,215.0,1.0,cluster1,215.0,2018,summer
38,2018-winter,0.0,0.0,0.0,0.0,44.0,1.0,cluster1,44.0,2018,winter
39,2019-summer,0.0,0.0,0.0,0.0,136.0,1.0,cluster1,136.0,2019,summer
40,2019-winter,0.0,0.0,0.0,0.0,19.0,1.0,cluster1,19.0,2019,winter
