,epidemic_season,cluster3_num,cluster3_proportion,cluster2_num,cluster2_proportion,cluster1_num,cluster1_proportion,cluster_predominant,num_predominant,year,season
0,1990-winter,1.0,1.0,0.0,0.0,0.0,0.0,cluster3,1.0,1990,winter
1,1993-winter,0.0,0.0,3.0,1.0,0.0,0.0,cluster2,3.0,1993,winter
2,1994-winter,0.0,0.0,2.0,1.0,0.0,0.0,cluster2,2.0,1994,winter
3,1995-summer,0.0,0.0,1.0,1.0,0.0,0.0,cluster2,1.0,1995,summer
4,1995-winter,0.0,0.0,3.0,1.0,0.0,0.0,cluster2,3.0,1995,winter
5,1996-winter,0.0,0.0,5.0,1.0,0.0,0.0,cluster2,5.0,1996,winter
6,1997-summer,0.0,0.0,3.0,1.0,0.0,0.0,cluster2,3.0,1997,summer
7,1997-winter,0.0,0.0,1.0,1.0,0.0,0.0,cluster2,1.0,1997,winter
8,1998-summer,0.0,0.0,3.0,1.0,0.0,0.0,cluster2,3.0,1998,summer
9,1998-winter,0.0,0.0,21.0,1.0,0.0,0.0,cluster2,21.0,1998,winter
10,1999-summer,0.0,0.0,8.0,1.0,0.0,0.0,cluster2,8.0,1999,summer
11,1999-winter,0.0,0.0,7.0,1.0,0.0,0.0,cluster2,7.0,1999,winter
12,2000-summer,0.0,0.0,34.0,1.0,0.0,0.0,cluster2,34.0,2000,summer
13,2000-winter,0.0,0.0,10.0,1.0,0.0,0.0,cluster2,10.0,2000,winter
14,2001-summer,0.0,0.0,39.0,1.0,0.0,0.0,cluster2,39.0,2001,summer
15,2001-winter,0.0,0.0,3.0,1.0,0.0,0.0,cluster2,3.0,2001,winter
16,2002-summer,0.0,0.0,8.0,1.0,0.0,0.0,cluster2,8.0,2002,summer
17,2003-summer,0.0,0.0,1.0,1.0,0.0,0.0,cluster2,1.0,2003,summer
18,2003-winter,0.0,0.0,4.0,1.0,0.0,0.0,cluster2,4.0,2003,winter
19,2004-summer,0.0,0.0,29.0,1.0,0.0,0.0,cluster2,29.0,2004,summer
20,2004-winter,0.0,0.0,15.0,1.0,0.0,0.0,cluster2,15.0,2004,winter
21,2005-summer,0.0,0.0,24.0,1.0,0.0,0.0,cluster2,24.0,2005,summer
22,2005-winter,0.0,0.0,4.0,1.0,0.0,0.0,cluster2,4.0,2005,winter
23,2006-summer,0.0,0.0,16.0,1.0,0.0,0.0,cluster2,16.0,2006,summer
24,2006-winter,0.0,0.0,15.0,0.9375,1.0,0.0625,cluster2,15.0,2006,winter
25,2007-summer,0.0,0.0,21.0,1.0,0.0,0.0,cluster2,21.0,2007,summer
26,2007-winter,0.0,0.0,21.0,0.7241379310344828,8.0,0.27586206896551724,cluster2,21.0,2007,winter
27,2008-summer,0.0,0.0,39.0,0.5064935064935064,38.0,0.4935064935064935,cluster2,39.0,2008,summer
28,2008-winter,0.0,0.0,1.0,0.2,4.0,0.8,cluster1,4.0,2008,winter
29,2009-summer,0.0,0.0,1.0,0.3333333333333333,2.0,0.6666666666666666,cluster1,2.0,2009,summer
30,2009-winter,0.0,0.0,0.0,0.0,2.0,1.0,cluster1,2.0,2009,winter
31,2010-summer,0.0,0.0,0.0,0.0,19.0,1.0,cluster1,19.0,2010,summer
32,2010-winter,0.0,0.0,0.0,0.0,8.0,1.0,cluster1,8.0,2010,winter
33,2011-summer,0.0,0.0,6.0,0.1935483870967742,25.0,0.8064516129032258,cluster1,25.0,2011,summer
34,2011-winter,0.0,0.0,9.0,0.34615384615384615,17.0,0.6538461538461539,cluster1,17.0,2011,winter
35,2012-summer,0.0,0.0,55.0,0.5670103092783505,42.0,0.4329896907216495,cluster2,55.0,2012,summer
36,2012-winter,0.0,0.0,34.0,0.576271186440678,25.0,0.423728813559322,cluster2,34.0,2012,winter
37,2013-summer,0.0,0.0,116.0,0.8854961832061069,15.0,0.11450381679389313,cluster2,116.0,2013,summer
38,2013-winter,0.0,0.0,45.0,0.5487804878048781,37.0,0.45121951219512196,cluster2,45.0,2013,winter
39,2014-summer,0.0,0.0,12.0,0.08571428571428572,128.0,0.9142857142857143,cluster1,128.0,2014,summer
40,2014-winter,0.0,0.0,4.0,0.029197080291970802,133.0,0.9708029197080292,cluster1,133.0,2014,winter
41,2015-summer,0.0,0.0,5.0,0.017361111111111112,283.0,0.9826388888888888,cluster1,283.0,2015,summer
42,2015-winter,0.0,0.0,8.0,0.10126582278481013,71.0,0.8987341772151899,cluster1,71.0,2015,winter
43,2016-summer,0.0,0.0,7.0,0.03888888888888889,173.0,0.9611111111111111,cluster1,173.0,2016,summer
44,2016-winter,0.0,0.0,0.0,0.0,83.0,1.0,cluster1,83.0,2016,winter
45,2017-summer,0.0,0.0,0.0,0.0,437.0,1.0,cluster1,437.0,2017,summer
46,2017-winter,0.0,0.0,0.0,0.0,295.0,1.0,cluster1,295.0,2017,winter
47,2018-summer,0.0,0.0,0.0,0.0,411.0,1.0,cluster1,411.0,2018,summer
48,2018-winter,0.0,0.0,0.0,0.0,106.0,1.0,cluster1,106.0,2018,winter
49,2019-summer,0.0,0.0,0.0,0.0,146.0,1.0,cluster1,146.0,2019,summer
50,2019-winter,0.0,0.0,0.0,0.0,35.0,1.0,cluster1,35.0,2019,winter
