,R0_v_mean,R0_y_mean,w_v_mean,w_y_mean,cv_mean,cy_mean,tv_0_mean,ty_0_mean,det_prob_v_mean,det_prob_y_mean,confirmed_dispersion_v_mean,confirmed_dispersion_y_mean,S_rate_ini_mean,Rcv_rate_ini_mean,Rcy_rate_ini_mean,Rv_rate_ini_mean,Ry_rate_ini_mean,R_rate_ini_mean,R0_v_std,R0_y_std,w_v_std,w_y_std,cv_std,cy_std,tv_0_std,ty_0_std,det_prob_v_std,det_prob_y_std,confirmed_dispersion_v_std,confirmed_dispersion_y_std,S_rate_ini_std,Rcv_rate_ini_std,Rcy_rate_ini_std,Rv_rate_ini_std,Ry_rate_ini_std,R_rate_ini_std,R0_v_neff,R0_y_neff,w_v_neff,w_y_neff,cv_neff,cy_neff,tv_0_neff,ty_0_neff,det_prob_v_neff,det_prob_y_neff,confirmed_dispersion_v_neff,confirmed_dispersion_y_neff,S_rate_ini_neff,Rcv_rate_ini_neff,Rcy_rate_ini_neff,Rv_rate_ini_neff,Ry_rate_ini_neff,R_rate_ini_neff,R0_v_rhat,R0_y_rhat,w_v_rhat,w_y_rhat,cv_rhat,cy_rhat,tv_0_rhat,ty_0_rhat,det_prob_v_rhat,det_prob_y_rhat,confirmed_dispersion_v_rhat,confirmed_dispersion_y_rhat,S_rate_ini_rhat,Rcv_rate_ini_rhat,Rcy_rate_ini_rhat,Rv_rate_ini_rhat,Ry_rate_ini_rhat,R_rate_ini_rhat,bv_log_likelihood_mean,bv_log_likelihood_std,by_log_likelihood_mean,by_log_likelihood_std,runtime,bv_rmse,by_rmse,bv_mape,by_mape,bv_mae,by_mae,bv_corr,by_corr,bv_r2,by_r2,file_num,log_likelihood_sum,log_likelihood_std,neff_mean,rhat_mean,mae,mape,rmse,r2,corr,S_rate_ini_adjust_mean,Rcv_rate_ini_adjust_mean,Rcy_rate_ini_adjust_mean,Rv_rate_ini_adjust_mean,Ry_rate_ini_adjust_mean,R_rate_ini_adjust_mean,Iv_rate_ini_adjust_mean,Iy_rate_ini_adjust_mean,Jv_rate_ini_adjust_mean,Jy_rate_ini_adjust_mean
0,2.006,1.249,0.077,0.433,0.53,0.673,13.264,14.238,0.085,0.55,0.088,1.379,0.887,0.098,0.012,0.424,0.445,0.856,0.018,0.001,0.005,0.014,0.021,0.019,0.151,0.164,0.004,0.016,0.032,0.096,0.01,0.002,0.002,0.017,0.018,0.016,711.0,543.0,1042.0,794.0,908.0,792.0,762.0,885.0,814.0,826.0,667.0,754.0,394.0,416.0,642.0,964.0,973.0,679.0,1.0,1.01,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.01,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,-439.0748904241569,4.658311418583447,-838.4524390356771,9.345423849997546,0.1866877955198288,7.131124818461011,73.03785167827554,647576417007522.8,0.6582137535340824,4.9869281045751634,40.4281045751634,0.9535451333548222,0.8642584312157519,0.908432641464762,0.6538285805640605,3290,-1277.527329459834,14.003735268580993,753.6666666666666,1.0022222222222221,45.415032679738566,647576417007523.4,80.16897649673655,0.7811306110144112,0.908901782285287,0.3258585472660211,0.036002409957237955,0.004408458362110771,0.15576552879458055,0.1634803309282744,0.31447002983056827,3.6737153017589754e-06,3.6737153017589754e-06,3.6737153017589754e-06,3.6737153017589754e-06
1,2.155,1.249,0.094,0.296,0.315,0.504,16.362,14.006,0.102,0.458,0.295,1.212,0.682,0.098,0.011,0.495,0.27,0.593,0.021,0.001,0.009,0.014,0.02,0.019,0.204,0.182,0.011,0.017,0.071,0.106,0.016,0.002,0.001,0.017,0.02,0.018,1292.0,1017.0,936.0,1054.0,986.0,1299.0,818.0,1168.0,979.0,982.0,845.0,1170.0,1030.0,909.0,919.0,929.0,1476.0,1221.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-479.719366794904,7.898410393219333,-806.5598477306418,12.881653326484251,0.0927459877067142,13.522493968837807,91.35797399113396,412094083550242.06,0.6574180660015563,7.983660130718954,46.6437908496732,0.905687698410249,0.8590381713549491,0.6707405845922517,0.4583881626757358,3943,-1286.2792145255457,20.780063719703584,1057.2222222222222,1.0,54.627450980392155,412094083550242.75,104.88046795997177,0.5645643736339938,0.882362934882599,0.31735100323865545,0.04560175706361911,0.005118564568365409,0.23033540557644344,0.12563749395078735,0.27593716264006257,4.653240516695828e-06,4.653240516695828e-06,4.653240516695828e-06,4.653240516695828e-06
2,2.127,1.246,0.077,0.154,0.252,0.89,14.296,13.918,0.085,0.424,0.142,0.532,0.703,0.053,0.016,0.609,0.146,0.369,0.019,0.004,0.007,0.008,0.02,0.019,0.17,0.173,0.007,0.016,0.053,0.071,0.017,0.017,0.005,0.018,0.015,0.014,1325.0,610.0,866.0,1169.0,979.0,1285.0,1198.0,1539.0,864.0,1705.0,661.0,1707.0,1084.0,949.0,709.0,1366.0,805.0,1194.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.01,1.0,1.0,1.0,1.0,-449.41259187199046,9.07371916703516,-677.8877380853637,7.627768885253263,0.1693931741846932,9.101551257566902,102.31045762072463,441529375232402.06,0.5534435668865321,5.336601307189542,44.80065359477124,0.9284253734460964,0.7816642395801533,0.8508389442946803,0.3207411862135867,671,-1127.3003299573543,16.701488052288422,1111.9444444444443,1.001111111111111,50.13725490196078,441529375232402.6,111.41200887829153,0.5857900652541335,0.8550448065131249,0.37077276850699353,0.027952996772219997,0.00843864053500981,0.3211957553638109,0.07700259488196451,0.19461614733866375,5.274150334381132e-06,5.274150334381132e-06,5.274150334381132e-06,5.274150334381132e-06
3,1.938,1.248,0.131,0.28,0.55,0.68,15.462,13.759,0.114,0.402,0.29,1.075,0.561,0.097,0.012,0.42,0.265,0.36,0.02,0.002,0.013,0.015,0.021,0.02,0.199,0.176,0.011,0.016,0.067,0.101,0.017,0.003,0.002,0.018,0.018,0.017,1336.0,944.0,980.0,1039.0,944.0,1260.0,1000.0,1126.0,828.0,1060.0,862.0,1274.0,1248.0,612.0,713.0,1005.0,1078.0,1327.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-476.7786154620653,6.735710532084212,-782.2336827762986,12.653270754499562,0.0940214434597227,15.56149513121905,101.97009525737134,382658791868082.0,0.6660115215577599,8.973856209150327,48.92483660130719,0.9108334921137046,0.7768876365009731,0.5639590749425059,0.3252531310690244,4971,-1259.0122982383639,19.388981286583775,1035.3333333333333,1.0005555555555554,57.89869281045752,382658791868082.7,117.53159038859039,0.44460610300576514,0.8438605643073389,0.32710607332773584,0.05655844761638213,0.006996921354603975,0.2448922474111391,0.1545153465808378,0.20990764063811923,5.830767795503312e-06,5.830767795503312e-06,5.830767795503312e-06,5.830767795503312e-06
4,1.98,1.225,0.076,0.633,0.236,0.773,13.358,15.926,0.08,0.435,0.073,1.71,0.703,0.097,0.014,0.305,0.471,0.795,0.017,0.013,0.004,0.018,0.02,0.019,0.148,0.157,0.003,0.015,0.023,0.096,0.017,0.003,0.004,0.017,0.018,0.017,1207.0,339.0,1198.0,853.0,1201.0,1037.0,1057.0,1111.0,1283.0,1383.0,1162.0,1231.0,1015.0,815.0,861.0,1181.0,1271.0,798.0,1.0,1.01,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.01,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,-433.0076333203299,2.219210462348058,-912.1809627929756,11.049878453066096,0.1472575975788964,7.26809214296935,96.48338778073176,559270541961042.4,0.7863847153111714,4.787581699346405,46.50653594771242,0.9531297864446736,0.732636179800854,0.9048813979151176,0.3959118501131727,3216,-1345.1885961133055,13.269088915414155,1055.7222222222222,1.0022222222222221,51.294117647058826,559270541961043.2,103.75147992370111,0.6503966240141451,0.8428829831227638,0.29475396639050083,0.040670177439372096,0.005869922517022777,0.12788045483513905,0.19748096467983767,0.33332774293093625,4.192801797873412e-06,4.192801797873412e-06,4.192801797873412e-06,4.192801797873412e-06
5,2.256,1.224,0.062,0.178,0.413,0.863,14.009,14.115,0.075,0.412,0.088,0.513,0.573,0.063,0.043,0.613,0.112,0.264,0.018,0.014,0.004,0.01,0.021,0.019,0.161,0.168,0.003,0.016,0.028,0.068,0.017,0.019,0.014,0.019,0.009,0.015,635.0,275.0,564.0,919.0,1154.0,983.0,638.0,407.0,807.0,825.0,781.0,428.0,767.0,105.0,566.0,457.0,195.0,515.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.02,1.01,1.01,1.01,1.01,-435.98591463429005,4.301144045553426,-674.8567926917274,7.531020295108175,0.2081223881244659,7.847817231187131,102.39166122093,515117604437802.3,0.46120925536189,4.901960784313726,40.52287581699346,0.9429329557440774,0.7382200946769586,0.8891023431042289,0.3196625056576935,4897,-1110.8427073260175,11.8321643406616,612.2777777777778,1.0044444444444445,45.42483660130719,515117604437802.75,110.23947845211714,0.6043824243809612,0.840576525210518,0.34351694203975924,0.03776887844416201,0.025778758303158195,0.36749718232176687,0.06714467278962136,0.15826958586125034,5.9950600705019075e-06,5.9950600705019075e-06,5.9950600705019075e-06,5.9950600705019075e-06
6,2.792,1.248,0.185,0.223,0.331,0.444,19.542,13.514,0.451,0.61,0.928,0.581,0.615,0.092,0.013,0.884,0.104,0.698,0.02,0.002,0.014,0.011,0.02,0.019,0.192,0.191,0.022,0.018,0.082,0.076,0.018,0.007,0.003,0.012,0.004,0.018,1069.0,834.0,982.0,1108.0,1031.0,1182.0,1117.0,1238.0,1095.0,822.0,1087.0,1057.0,1379.0,872.0,782.0,697.0,1125.0,1013.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-570.5822890186877,5.024618800933957,-691.379414397422,8.274625473177265,0.083582910630438,167.25406782082874,73.14399577304387,735882292054005.0,0.597636961120548,78.36928104575163,37.84640522875817,0.8221160923952463,0.8494509351318159,-49.37070022443845,0.6528216848048192,4780,-1261.9617034161097,13.29924427411122,1027.2222222222222,1.0005555555555554,116.2156862745098,735882292054005.6,240.39806359387262,-24.358939269816815,0.8357835137635311,0.25560672308024807,0.038237103290053365,0.005403068943159715,0.3674086881348606,0.04322455154527772,0.2901032401788831,4.156206879353627e-06,4.156206879353627e-06,4.156206879353627e-06,4.156206879353627e-06
7,1.921,1.247,0.543,0.332,0.232,0.76,17.739,14.035,0.399,0.54,0.848,1.111,0.687,0.097,0.012,0.506,0.112,0.778,0.021,0.003,0.021,0.014,0.02,0.02,0.178,0.175,0.018,0.017,0.073,0.099,0.017,0.003,0.002,0.019,0.01,0.019,1322.0,770.0,1177.0,1280.0,1107.0,1159.0,1301.0,1063.0,1352.0,1425.0,1002.0,1184.0,1106.0,1029.0,826.0,1235.0,642.0,1166.0,1.0,1.0,1.01,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,-560.3896324720238,3.160358792592868,-788.5057733173028,11.242072757761283,0.0877780329518848,149.84682266046855,74.74195259105949,353223500185922.8,0.6430987819594535,63.310457516339866,40.97385620915033,0.81354905688925,0.8545460417887772,-39.43148448522458,0.6374865648405946,3534,-1348.8954057893266,14.402431550354152,1119.2222222222222,1.0016666666666667,104.2843137254902,353223500185923.44,224.58877525152803,-19.396998960191993,0.8340475493390136,0.31340668965894786,0.04425101731720224,0.005474352657798215,0.23083520373715807,0.05109395813945001,0.354920530647251,4.56196054816518e-06,4.56196054816518e-06,4.56196054816518e-06,4.56196054816518e-06
8,2.123,1.196,0.067,0.55,0.159,0.597,13.673,16.076,0.079,0.538,0.068,1.276,0.7,0.093,0.013,0.473,0.404,0.719,0.018,0.014,0.003,0.017,0.021,0.019,0.159,0.16,0.003,0.017,0.022,0.093,0.017,0.007,0.003,0.018,0.018,0.018,1234.0,1247.0,965.0,1151.0,1132.0,1113.0,1039.0,974.0,1201.0,920.0,1097.0,1202.0,1072.0,550.0,710.0,1185.0,1046.0,796.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-431.49156597676017,3.5289287910475866,-823.0337319627703,8.450011504959804,0.12228810177909,7.119085092132247,94.95332530737458,677011708689682.9,0.6675596191914911,4.526143790849673,44.3921568627451,0.9533677668350288,0.6995377373860091,0.9087415731737204,0.4149195523770058,3091,-1254.5252979395304,11.97894029600739,1035.2222222222222,1.0,48.91830065359477,677011708689683.5,102.07241039950684,0.6618305627753631,0.8264527521105189,0.29141896055019906,0.038717090473097876,0.005412066410217982,0.19691595477177734,0.16819037151754346,0.29932890376513305,4.163128007859987e-06,4.163128007859987e-06,4.163128007859987e-06,4.163128007859987e-06
9,2.241,1.248,0.075,0.169,0.251,0.78,15.378,13.991,0.078,0.345,0.123,0.694,0.652,0.096,0.011,0.894,0.324,0.279,0.021,0.002,0.006,0.011,0.021,0.019,0.168,0.164,0.004,0.015,0.038,0.086,0.017,0.003,0.001,0.006,0.019,0.021,1491.0,986.0,1592.0,702.0,1228.0,1917.0,1672.0,1465.0,1365.0,1451.0,1845.0,901.0,1361.0,1446.0,980.0,739.0,617.0,657.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-445.58293529524747,5.202970032463665,-709.0263282008253,10.205800219728866,0.1395846080780029,8.657329057234035,111.56457141391816,382658791868081.75,0.553647351178051,4.92483660130719,49.24183006535948,0.9361297672537432,0.7146367453834422,0.8650439184932579,0.1923041885585082,1217,-1154.6092634960728,15.408770252192532,1245.2777777777778,1.0,54.16666666666667,382658791868082.3,120.2219004711522,0.528674053525883,0.8253832563185928,0.2890019680502119,0.04255243701352813,0.004875800074466765,0.3962695696884807,0.14361447492065743,0.12366802007056614,4.432545522242514e-06,4.432545522242514e-06,4.432545522242514e-06,4.432545522242514e-06
