,combination,extinction_size
0,BY_y_cv0.00_cy0.00,167.57790575614925
1,BY_y_cv0.00_cy0.01,167.52940817393142
2,BY_y_cv0.00_cy0.02,167.52135718638021
3,BY_y_cv0.00_cy0.03,167.5311772743293
4,BY_y_cv0.00_cy0.04,167.5282089363602
5,BY_y_cv0.00_cy0.05,167.53160751514335
6,BY_y_cv0.00_cy0.06,167.5304267030266
7,BY_y_cv0.00_cy0.07,167.53200435571452
8,BY_y_cv0.00_cy0.08,167.50124133405774
9,BY_y_cv0.00_cy0.09,167.50873479513123
10,BY_y_cv0.00_cy0.10,167.51622706401142
11,BY_y_cv0.00_cy0.11,167.52374042538415
12,BY_y_cv0.00_cy0.12,167.47895576894157
13,BY_y_cv0.00_cy0.13,167.51374592712727
14,BY_y_cv0.00_cy0.14,167.49916101825207
15,BY_y_cv0.00_cy0.15,167.46869391953953
16,BY_y_cv0.00_cy0.16,167.47633637445452
17,BY_y_cv0.00_cy0.17,167.48491534936875
18,BY_y_cv0.00_cy0.18,167.4937252639484
19,BY_y_cv0.00_cy0.19,167.45848311031406
20,BY_y_cv0.00_cy0.20,167.46727056358546
21,BY_y_cv0.00_cy0.21,167.4760445792008
22,BY_y_cv0.00_cy0.22,167.42944382338393
23,BY_y_cv0.00_cy0.23,167.42817222168287
24,BY_y_cv0.00_cy0.24,167.42185800883985
25,BY_y_cv0.00_cy0.25,167.43046597327668
26,BY_y_cv0.00_cy0.26,167.4389909931062
27,BY_y_cv0.00_cy0.27,167.44746193198716
28,BY_y_cv0.00_cy0.28,167.43424710967378
29,BY_y_cv0.00_cy0.29,167.41851315811056
30,BY_y_cv0.00_cy0.30,167.4134053789176
31,BY_y_cv0.00_cy0.31,167.41027820748243
32,BY_y_cv0.00_cy0.32,167.42957089235932
33,BY_y_cv0.00_cy0.33,167.40775492493069
34,BY_y_cv0.00_cy0.34,167.4215755274632
35,BY_y_cv0.00_cy0.35,167.41630908750685
36,BY_y_cv0.00_cy0.36,167.41102388066452
37,BY_y_cv0.00_cy0.37,167.40571947582663
38,BY_y_cv0.00_cy0.38,167.4003947200996
39,BY_y_cv0.00_cy0.39,167.39504977120524
40,BY_y_cv0.00_cy0.40,167.3896847914977
41,BY_y_cv0.00_cy0.41,167.3842999493858
42,BY_y_cv0.00_cy0.42,167.37889541837046
43,BY_y_cv0.00_cy0.43,167.3734713769711
44,BY_y_cv0.00_cy0.44,167.36802800738042
45,BY_y_cv0.00_cy0.45,167.36256549614538
46,BY_y_cv0.00_cy0.46,167.35708403726807
