,combination,extinction_size
0,BY_y0.00_n0.00_r1.000,17611.469215715075
1,BY_y0.00_n0.01_r1.000,16879.60338270003
2,BY_y0.00_n0.02_r1.000,16223.172383375255
3,BY_y0.00_n0.03_r1.000,15535.74728281146
4,BY_y0.00_n0.04_r1.000,14816.816266920012
5,BY_y0.00_n0.05_r1.000,14065.978470273962
6,BY_y0.00_n0.06_r1.000,13284.8477389493
7,BY_y0.00_n0.07_r1.000,12475.300096821566
8,BY_y0.00_n0.08_r1.000,11640.240128477537
9,BY_y0.00_n0.09_r1.000,10785.097165898038
10,BY_y0.00_n0.10_r1.000,9917.533790681517
11,BY_y0.00_n0.11_r1.000,9046.480150496123
12,BY_y0.00_n0.12_r1.000,8182.79738489803
13,BY_y0.00_n0.13_r1.000,7339.710870862514
14,BY_y0.00_n0.14_r1.000,6530.905988569149
15,BY_y0.00_n0.15_r1.000,5769.084394812856
16,BY_y0.00_n0.16_r1.000,5064.859370458751
17,BY_y0.00_n0.17_r1.000,4427.55598109238
18,BY_y0.00_n0.18_r1.000,3860.005059414471
19,BY_y0.00_n0.19_r1.000,3365.4785237449846
20,BY_y0.00_n0.20_r1.000,2939.812032893563
21,BY_y0.00_n0.21_r1.000,2578.673090277447
22,BY_y0.00_n0.22_r1.000,2275.9335900897727
23,BY_y0.00_n0.23_r1.000,2022.8478202612384
24,BY_y0.00_n0.24_r1.000,1813.4687774134202
25,BY_y0.00_n0.25_r1.000,1640.0096785992814
26,BY_y0.00_n0.26_r1.000,1496.685845567038
27,BY_y0.00_n0.27_r1.000,1377.8109715622554
28,BY_y0.00_n0.28_r1.000,1278.8809496401466
29,BY_y0.00_n0.29_r1.000,1196.2854333303007
30,BY_y0.00_n0.30_r1.000,1126.9618400584454
31,BY_y0.00_n0.31_r1.000,1068.4863145800293
32,BY_y0.00_n0.32_r1.000,1018.7977037269063
33,BY_y0.00_n0.33_r1.000,976.2511725142743
34,BY_y0.00_n0.34_r1.000,939.615733071552
35,BY_y0.00_n0.35_r1.000,907.8828420888558
36,BY_y0.00_n0.36_r1.000,879.9942081738841
37,BY_y0.00_n0.37_r1.000,855.6208642018896
38,BY_y0.00_n0.38_r1.000,833.9077460187713
39,BY_y0.00_n0.39_r1.000,814.7567235311714
40,BY_y0.00_n0.40_r1.000,797.598567779959
41,BY_y0.00_n0.41_r1.000,782.0181732927236
42,BY_y0.00_n0.42_r1.000,767.9965655029914
43,BY_y0.00_n0.43_r1.000,755.2058175507697
44,BY_y0.00_n0.44_r1.000,743.6659327960291
45,BY_y0.00_n0.45_r1.000,732.887549370097
46,BY_y0.00_n0.46_r1.000,723.0443929420376
47,BY_y0.00_n0.47_r1.000,714.0428022292004
48,BY_y0.00_n0.48_r1.000,705.6386253332107
49,BY_y0.00_n0.49_r1.000,697.8971020707356
50,BY_y0.00_n0.50_r1.000,690.5795954546309
51,BY_y0.00_n0.51_r1.000,683.8716517129312
52,BY_y0.00_n0.52_r1.000,677.5221050514033
53,BY_y0.00_n0.53_r1.000,671.4602591148837
54,BY_y0.00_n0.54_r1.000,665.8585363299276
55,BY_y0.00_n0.55_r1.000,660.5766432297587
56,BY_y0.00_n0.56_r1.000,655.566785645859
57,BY_y0.00_n0.57_r1.000,650.813575116797
58,BY_y0.00_n0.58_r1.000,646.3367891993125
59,BY_y0.00_n0.59_r1.000,642.1293646697327
60,BY_y0.00_n0.60_r1.000,638.0711962827313
61,BY_y0.00_n0.61_r1.000,634.2734607582256
62,BY_y0.00_n0.62_r1.000,630.6208819908
63,BY_y0.00_n0.63_r1.000,627.0652243546881
64,BY_y0.00_n0.64_r1.000,623.7224677509276
65,BY_y0.00_n0.65_r1.000,620.5557125717046
66,BY_y0.00_n0.66_r1.000,617.4603954606619
67,BY_y0.00_n0.67_r1.000,614.508274990975
68,BY_y0.00_n0.68_r1.000,611.6995355026013
69,BY_y0.00_n0.69_r1.000,609.0206901394624
70,BY_y0.00_n0.70_r1.000,606.3786956867662
71,BY_y0.00_n0.71_r1.000,603.8612833714911
72,BY_y0.00_n0.72_r1.000,601.4639727957358
73,BY_y0.00_n0.73_r1.000,599.123678864584
74,BY_y0.00_n0.74_r1.000,596.918058657762
75,BY_y0.00_n0.75_r1.000,594.7630507960382
76,BY_y0.00_n0.76_r1.000,592.659478020275
77,BY_y0.00_n0.77_r1.000,590.636189076901
78,BY_y0.00_n0.78_r1.000,588.7140610052406
79,BY_y0.00_n0.79_r1.000,586.8129186111493
80,BY_y0.00_n0.80_r1.000,585.0323413476044
81,BY_y0.00_n0.81_r1.000,583.2885641731409
82,BY_y0.00_n0.82_r1.000,581.5504341018277
83,BY_y0.00_n0.83_r1.000,579.8734024871283
84,BY_y0.00_n0.84_r1.000,578.2693646743589
85,BY_y0.00_n0.85_r1.000,576.7509954801299
86,BY_y0.00_n0.86_r1.000,575.2407529050855
87,BY_y0.00_n0.87_r1.000,573.7381022644204
88,BY_y0.00_n0.88_r1.000,572.3037721875032
89,BY_y0.00_n0.89_r1.000,570.9200273464356
90,BY_y0.00_n0.90_r1.000,569.5839009907112
91,BY_y0.00_n0.91_r1.000,568.2947961856948
92,BY_y0.00_n0.92_r1.000,566.9890932666818
93,BY_y0.00_n0.93_r1.000,565.7681532352149
94,BY_y0.00_n0.94_r1.000,564.5130072529353
95,BY_y0.00_n0.95_r1.000,563.3390989525241
96,BY_y0.00_n0.96_r1.000,562.1627729532106
97,BY_y0.00_n0.97_r1.000,561.0506762491846
98,BY_y0.00_n0.98_r1.000,559.9709581054786
99,BY_y0.00_n0.99_r1.000,558.8967957456105
100,BY_y0.00_n1.00_r1.000,557.8566714499682
101,BY_y0.00_n0.00_r1.001,17592.49400096115
102,BY_y0.00_n0.01_r1.001,16859.4503384211
