,combination,extinction_size
0,BY_y_cv0.00_cy0.00,899.1485781460478
1,BY_y_cv0.00_cy0.10,918.8436871871427
2,BY_y_cv0.00_cy0.20,938.6604865059119
3,BY_y_cv0.00_cy0.30,958.5213905097218
4,BY_y_cv0.00_cy0.40,978.4306680372888
5,BY_y_cv0.00_cy0.50,998.3259815763533
6,BY_y_cv0.00_cy0.60,1018.2495548687967
7,BY_y_cv0.00_cy0.70,1038.0212484743186
8,BY_y_cv0.00_cy0.80,1057.8428982666856
9,BY_y_cv0.00_cy0.90,1077.525388487579
10,BY_y_cv0.00_cy1.00,1097.1993462504984
11,BY_y_cv0.00_cy1.10,1116.7567885774783
12,BY_y_cv0.00_cy1.20,1136.0950276017168
13,BY_y_cv0.00_cy1.30,1155.207030269986
14,BY_y_cv0.00_cy1.40,1174.2025338553283
15,BY_y_cv0.00_cy1.50,1192.8563253632205
16,BY_y_cv0.00_cy1.60,1211.4325141934296
17,BY_y_cv0.00_cy1.70,1229.5550003419462
18,BY_y_cv0.00_cy1.80,1247.4979168446307
19,BY_y_cv0.00_cy1.90,1265.047708080339
20,BY_y_cv0.00_cy2.00,1282.3535329876997
21,BY_y_cv0.00_cy2.10,1299.1065953513917
22,BY_y_cv0.00_cy2.20,1314.4670603777918
23,BY_y_cv0.00_cy2.30,1330.4338710123668
24,BY_y_cv0.00_cy2.40,1345.9452782910814
25,BY_y_cv0.00_cy2.50,1360.95821575742
26,BY_y_cv0.00_cy2.60,1377.4874769462672
27,BY_y_cv0.00_cy2.70,1391.516913096654
28,BY_y_cv0.00_cy2.80,1404.900423285632
29,BY_y_cv0.00_cy2.90,1417.8872450978297
30,BY_y_cv0.00_cy3.00,1430.2226716740329
31,BY_y_cv0.00_cy3.10,1442.0448725839397
32,BY_y_cv0.00_cy3.20,1452.9659527767078
33,BY_y_cv0.00_cy3.30,1463.1057846612987
34,BY_y_cv0.00_cy3.40,1473.7177607178594
35,BY_y_cv0.00_cy3.50,1482.8754841620037
36,BY_y_cv0.00_cy3.60,1491.1682084440502
37,BY_y_cv0.00_cy3.70,1498.91327697958
38,BY_y_cv0.00_cy3.80,1506.0998996664405
39,BY_y_cv0.00_cy3.90,1512.913400507837
40,BY_y_cv0.00_cy4.00,1518.5438560999878
41,BY_y_cv0.00_cy4.10,1523.3626805950535
42,BY_y_cv0.00_cy4.20,1527.7066172207892
43,BY_y_cv0.00_cy4.30,1531.1176517985639
44,BY_y_cv0.00_cy4.40,1533.9501053924373
45,BY_y_cv0.00_cy4.50,1535.972539707815
46,BY_y_cv0.00_cy4.60,1537.4566310116318
47,BY_y_cv0.00_cy4.70,1538.1526652715213
48,BY_y_cv0.00_cy4.80,1538.0520893805956
49,BY_y_cv0.00_cy4.90,1537.0679232109794
50,BY_y_cv0.00_cy5.00,1535.506195034326
51,BY_y_cv0.00_cy5.10,1533.282225407771
52,BY_y_cv0.00_cy5.20,1530.40626295854
53,BY_y_cv0.00_cy5.30,1526.8408448967389
54,BY_y_cv0.00_cy5.40,1522.129452477954
55,BY_y_cv0.00_cy5.50,1517.576277600838
56,BY_y_cv0.00_cy5.60,1511.661024558697
