,combination,extinction_size,wv,wy
0,BY_y_cv0.00_cy0.00,56.116962112127474,0.0,0.0
1,BY_y_cv0.00_cy0.01,56.64626491470845,0.0,0.01
2,BY_y_cv0.00_cy0.02,57.20503202167456,0.0,0.02
3,BY_y_cv0.00_cy0.03,57.77113326742911,0.0,0.03
4,BY_y_cv0.00_cy0.04,58.37374685985361,0.0,0.04
5,BY_y_cv0.00_cy0.05,58.9916752392388,0.0,0.05
6,BY_y_cv0.00_cy0.06,59.63163574915762,0.0,0.06
7,BY_y_cv0.00_cy0.07,60.3040664317252,0.0,0.07
8,BY_y_cv0.00_cy0.08,61.00520697591038,0.0,0.08
9,BY_y_cv0.00_cy0.09,61.73813360374207,0.0,0.09
10,BY_y_cv0.00_cy0.10,62.50269127098855,0.0,0.1
11,BY_y_cv0.00_cy0.11,63.29363167775519,0.0,0.11
12,BY_y_cv0.00_cy0.12,64.12711980634195,0.0,0.12
13,BY_y_cv0.00_cy0.13,64.99362790685846,0.0,0.13
14,BY_y_cv0.00_cy0.14,65.89829836513219,0.0,0.14
15,BY_y_cv0.00_cy0.15,66.85521477030905,0.0,0.15
16,BY_y_cv0.00_cy0.16,67.86563918349037,0.0,0.16
17,BY_y_cv0.00_cy0.17,68.90329441908725,0.0,0.17
18,BY_y_cv0.00_cy0.18,70.00434371337741,0.0,0.18
19,BY_y_cv0.00_cy0.19,71.16623120105925,0.0,0.19
20,BY_y_cv0.00_cy0.20,72.38371247846989,0.0,0.2
21,BY_y_cv0.00_cy0.21,73.67344755978904,0.0,0.21
22,BY_y_cv0.00_cy0.22,75.04219747261413,0.0,0.22
23,BY_y_cv0.00_cy0.23,76.47229620082818,0.0,0.23
24,BY_y_cv0.00_cy0.24,77.97782098002625,0.0,0.24
25,BY_y_cv0.00_cy0.25,79.59830885361936,0.0,0.25
26,BY_y_cv0.00_cy0.26,81.29848358293621,0.0,0.26
27,BY_y_cv0.00_cy0.27,83.12041604335118,0.0,0.27
28,BY_y_cv0.00_cy0.28,85.05609142316025,0.0,0.28
29,BY_y_cv0.00_cy0.29,87.12699651637341,0.0,0.29
30,BY_y_cv0.00_cy0.30,89.3353507957525,0.0,0.3
31,BY_y_cv0.00_cy0.31,91.69799547093936,0.0,0.31
32,BY_y_cv0.00_cy0.32,94.24957283867096,0.0,0.32
33,BY_y_cv0.00_cy0.33,96.9722149436124,0.0,0.33
34,BY_y_cv0.00_cy0.34,99.89025005972093,0.0,0.34
35,BY_y_cv0.00_cy0.35,103.05821673486862,0.0,0.35
36,BY_y_cv0.00_cy0.36,106.49526831535373,0.0,0.36
37,BY_y_cv0.00_cy0.37,110.19761165056096,0.0,0.37
38,BY_y_cv0.00_cy0.38,114.25929216251916,0.0,0.38
39,BY_y_cv0.00_cy0.39,118.6581366135106,0.0,0.39
40,BY_y_cv0.00_cy0.40,123.46759815187836,0.0,0.4
41,BY_y_cv0.00_cy0.41,128.7612740863431,0.0,0.41
42,BY_y_cv0.00_cy0.42,134.5276024890609,0.0,0.42
43,BY_y_cv0.00_cy0.43,140.91950931395772,0.0,0.43
44,BY_y_cv0.00_cy0.44,147.91327507098887,0.0,0.44
45,BY_y_cv0.00_cy0.45,155.73188960529495,0.0,0.45
46,BY_y_cv0.00_cy0.46,164.31298535315457,0.0,0.46
47,BY_y_cv0.00_cy0.47,173.9326271007658,0.0,0.47
48,BY_y_cv0.00_cy0.48,184.6424961739264,0.0,0.48
49,BY_y_cv0.00_cy0.49,196.6333238616884,0.0,0.49
50,BY_y_cv0.00_cy0.50,210.11435161088687,0.0,0.5
51,BY_y_cv0.00_cy0.51,225.2090980992016,0.0,0.51
52,BY_y_cv0.00_cy0.52,242.3181448633279,0.0,0.52
53,BY_y_cv0.00_cy0.53,261.5369990024782,0.0,0.53
54,BY_y_cv0.00_cy0.54,283.2769702417604,0.0,0.54
55,BY_y_cv0.00_cy0.55,307.97544028793,0.0,0.55
56,BY_y_cv0.00_cy0.56,336.14909466261,0.0,0.56
57,BY_y_cv0.00_cy0.57,368.0467398642769,0.0,0.57
58,BY_y_cv0.00_cy0.58,404.4203731346557,0.0,0.58
59,BY_y_cv0.00_cy0.59,445.93283837368034,0.0,0.59
60,BY_y_cv0.00_cy0.60,493.3699255645856,0.0,0.6
61,BY_y_cv0.00_cy0.61,547.4013431367391,0.0,0.61
62,BY_y_cv0.00_cy0.62,609.3260493424254,0.0,0.62
63,BY_y_cv0.00_cy0.63,679.9799989356122,0.0,0.63
64,BY_y_cv0.00_cy0.64,760.521880861788,0.0,0.64
65,BY_y_cv0.00_cy0.65,852.1500551240435,0.0,0.65
66,BY_y_cv0.00_cy0.66,956.6839480310005,0.0,0.66
67,BY_y_cv0.00_cy0.67,1075.4141202237872,0.0,0.67
