,half_year,time_plot,BV_all_logL,BV_all_dn/ds,BV_external_logL,BV_external_dn/ds,BV_internal_logL,BV_internal_dn/ds,BY_all_logL,BY_all_dn/ds,BY_external_logL,BY_external_dn/ds,BY_internal_logL,BY_internal_dn/ds,BV_all_SE,BV_all_lower_interval,BV_all_upper_interval,BV_external_SE,BV_external_lower_interval,BV_external_upper_interval,BV_internal_SE,BV_internal_lower_interval,BV_internal_upper_interval,BY_all_SE,BY_all_lower_interval,BY_all_upper_interval,BY_external_SE,BY_external_lower_interval,BY_external_upper_interval,BY_internal_SE,BY_internal_lower_interval,BY_internal_upper_interval
0,1987-U,1987.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1987-D,1987.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1988-U,1988.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1988-D,1988.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1989-U,1989.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1989-D,1989.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1990-U,1990.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1990-D,1990.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1991-U,1991.25,-2433.69143988239,0.2664570408769862,-2433.342651349396,0.2383659687344861,-2433.342651349396,0.6687718917385425,,,,,,,0.014333499806206504,0.25212354107077967,0.2807905406831927,0.01433452703129368,0.22403144170319242,0.2527004957657798,0.01433452703129368,0.6544373647072488,0.6831064187698361,,,,,,,,,
9,1991-D,1991.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1992-U,1992.25,,,,,,,-2478.235890503156,0.2662105823735336,-2478.235890503156,0.2662105823735336,,,,,,,,,,,,0.014204098687437767,0.25200648368609585,0.2804146810609714,0.014204098687437767,0.25200648368609585,0.2804146810609714,,,
11,1992-D,1992.75,-2451.011493719091,0.1239893917828537,-2451.01149371909,0.1239893917828537,,,,,,,,,0.014282766237239222,0.10970662554561449,0.13827215802009293,0.014282766237239225,0.10970662554561447,0.13827215802009293,,,,,,,,,,,,
12,1993-U,1993.25,-2770.71404042559,0.1492053029933562,-2770.71404042559,0.1492053029933562,,,,,,,,,0.013433499065053417,0.13577180392830276,0.1626388020584096,0.013433499065053417,0.13577180392830276,0.1626388020584096,,,,,,,,,,,,
13,1993-D,1993.75,-2670.577135286596,0.1313117211400587,-2669.769048910478,0.1027282552140402,-2669.769048914937,0.2082046656200018,,,,,,,0.013683035035604979,0.11762868610445373,0.14499475617566368,0.013685105671197564,0.08904314954284265,0.11641336088523777,0.013685105671186136,0.19451955994881567,0.22188977129118795,,,,,,,,,
14,1994-U,1994.25,,,,,,,-2613.794337119597,0.1338277499234164,-2613.636397909208,0.1235842482738821,-2613.636397909209,0.1970001624362664,,,,,,,,,,0.013830863519755628,0.11999688640366077,0.14765861344317202,0.013831281405477085,0.10975296686840502,0.1374155296793592,0.013831281405477085,0.1831688810307893,0.2108314438417435
15,1994-D,1994.75,-2624.01077520131,0.1602255457745876,-2624.01077520131,0.1602255457745876,,,,,,,,,0.01380391241717166,0.14642163335741595,0.17402945819175927,0.01380391241717166,0.14642163335741595,0.17402945819175927,,,,,,,,,,,,
16,1995-U,1995.25,-2779.695829513894,0.1547515449488795,-2779.695829513894,0.1547515449488795,,,-2638.380458675285,0.1855582790713068,-2638.371434899202,0.1922075263946171,-2638.371434899411,0.1791763109592522,0.013411778256822764,0.14133976669205672,0.16816332320570226,0.013411778256822764,0.14133976669205672,0.16816332320570226,,,,0.013766270258002465,0.1717920088133043,0.19932454932930926,0.013766293799728326,0.17844123259488878,0.20597382019434543,0.013766293799727783,0.16541001715952441,0.19294260475898
17,1995-D,1995.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1996-U,1996.25,-3043.951166636472,0.1608175837985831,-3043.833349938779,0.1655013666375053,-3043.833349938779,0.1279484021210418,-2800.344252291111,0.206448527826938,-2800.169959000998,0.1852225926814486,-2800.169959001354,0.2373736765602349,0.012816403200248256,0.14800118059833484,0.17363398699883137,0.012816651238086795,0.15268471539941852,0.1783180178755921,0.012816651238086795,0.115131750882955,0.1407650533591286,0.013362240695515197,0.1930862871314228,0.2198107685224532,0.01336265654753287,0.17185993613391573,0.1985852492289815,0.013362656547532022,0.22401102001270287,0.25073633310776694
19,1996-D,1996.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1997-U,1997.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1997-D,1997.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
